goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,BenchmarkAppend-expand.txt,,BenchmarkAppend-for.txt,,,,BenchmarkAppend-for_index.txt,,,,BenchmarkAppend-for_prealloc.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Append/size=500000_subset=1000000-10,0.00039602,16%,0.0007286115000000001,2%,+83.98%,p=0.002 n=6,0.000475573,3%,+20.09%,p=0.002 n=6,0.000417762,2%,~,p=0.065 n=6
Append/size=1000000_subset=1000000-10,0.0005697325,4%,0.0017869105000000002,4%,+213.64%,p=0.002 n=6,0.0006824960000000001,3%,+19.79%,p=0.002 n=6,0.0006063145000000001,2%,+6.42%,p=0.002 n=6
geomean,1.3064448911889634e-05,,3.185884691452884e-05,,+143.86%,,1.546792405010651e-05,,+18.40%,,1.6241141964546495e-05,,+24.32%,

,BenchmarkAppend-expand.txt,,BenchmarkAppend-for.txt,,,,BenchmarkAppend-for_index.txt,,,,BenchmarkAppend-for_prealloc.txt,,,
,B/op,CI,B/op,CI,vs base,P,B/op,CI,vs base,P,B/op,CI,vs base,P
Append/size=10_subset=10-10,160,0%,160,0%,~,p=1.000 n=6,160,0%,~,p=1.000 n=6,160,0%,~,p=1.000 n=6
Append/size=50_subset=10-10,480,0%,1120,0%,+133.33%,p=0.002 n=6,480,0%,~,p=1.000 n=6,480,0%,~,p=1.000 n=6
Append/size=100_subset=10-10,896,0%,2400,0%,+167.86%,p=0.002 n=6,896,0%,~,p=1.000 n=6,896,0%,~,p=1.000 n=6
Append/size=500_subset=10-10,4096,0%,10464,0%,+155.47%,p=0.002 n=6,4096,0%,~,p=1.000 n=6,4096,0%,~,p=1.000 n=6
Append/size=1000_subset=10-10,8192,0%,19936,0%,+143.36%,p=0.002 n=6,8192,0%,~,p=1.000 n=6,8192,0%,~,p=1.000 n=6
Append/size=5000_subset=10-10,40960,0%,120800,0%,+194.92%,p=0.002 n=6,40960,0%,~,p=1.000 n=6,40960,0%,~,p=1.000 n=6
Append/size=10000_subset=10-10,81920,0%,350177,0%,+327.46%,p=0.002 n=6,81920,0%,~,p=1.000 n=6,81920,0%,~,p=1.000 n=6
Append/size=50000_subset=10-10,401408,0%,1.9476345e+06,0%,+385.20%,p=0.002 n=6,401409,0%,+0.00%,p=0.002 n=6,401410,0%,+0.00%,p=0.002 n=6
Append/size=100000_subset=10-10,802817,0%,4.093976e+06,0%,+409.95%,p=0.002 n=6,802829.5,0%,+0.00%,p=0.002 n=6,802828,0%,+0.00%,p=0.002 n=6
Append/size=500000_subset=10-10,4.005896e+06,0%,2.1076005e+07,0%,+426.12%,p=0.002 n=6,4.0058975e+06,0%,+0.00%,p=0.022 n=6,4.00589e+06,0%,-0.00%,p=0.002 n=6
Append/size=1000000_subset=10-10,8.003593e+06,0%,4.1670697e+07,0%,+420.65%,p=0.002 n=6,8.0035945e+06,0%,~,p=0.262 n=6,8.003589e+06,0%,~,p=0.106 n=6
Append/size=10_subset=50-10,896,0%,896,0%,~,p=1.000 n=6,480,0%,-46.43%,p=0.002 n=6,480,0%,-46.43%,p=0.002 n=6
Append/size=50_subset=50-10,896,0%,896,0%,~,p=1.000 n=6,896,0%,~,p=1.000 n=6,896,0%,~,p=1.000 n=6
Append/size=100_subset=50-10,1280,0%,2688,0%,+110.00%,p=0.002 n=6,1280,0%,~,p=1.000 n=6,1280,0%,~,p=1.000 n=6
Append/size=500_subset=50-10,4864,0%,13568,0%,+178.95%,p=0.002 n=6,4864,0%,~,p=1.000 n=6,4864,0%,~,p=1.000 n=6
Append/size=1000_subset=50-10,9472,0%,23808,0%,+151.35%,p=0.002 n=6,9472,0%,~,p=1.000 n=6,9472,0%,~,p=1.000 n=6
Append/size=5000_subset=50-10,40960,0%,126848,0%,+209.69%,p=0.002 n=6,40960,0%,~,p=1.000 n=6,40960,0%,~,p=1.000 n=6
Append/size=10000_subset=50-10,81920,0%,356225,0%,+334.84%,p=0.002 n=6,81920,0%,~,p=1.000 n=6,81920,0%,~,p=1.000 n=6
Append/size=50000_subset=50-10,401408,0%,1.953682e+06,0%,+386.71%,p=0.002 n=6,401409,0%,+0.00%,p=0.015 n=6,401409,0%,+0.00%,p=0.002 n=6
Append/size=100000_subset=50-10,802817,0%,4.1000125e+06,0%,+410.70%,p=0.002 n=6,802830,0%,+0.00%,p=0.002 n=6,802828,0%,+0.00%,p=0.002 n=6
Append/size=500000_subset=50-10,4.005897e+06,0%,2.10820485e+07,0%,+426.28%,p=0.002 n=6,4.005898e+06,0%,~,p=0.219 n=6,4.00589e+06,0%,-0.00%,p=0.002 n=6
Append/size=1000000_subset=50-10,8.003592e+06,0%,4.16767385e+07,0%,+420.73%,p=0.002 n=6,8.003593e+06,0%,~,p=0.690 n=6,8.0035895e+06,0%,-0.00%,p=0.009 n=6
Append/size=10_subset=100-10,1792,0%,1792,0%,~,p=1.000 n=6,896,0%,-50.00%,p=0.002 n=6,896,0%,-50.00%,p=0.002 n=6
Append/size=50_subset=100-10,1792,0%,1792,0%,~,p=1.000 n=6,1280,0%,-28.57%,p=0.002 n=6,1280,0%,-28.57%,p=0.002 n=6
Append/size=100_subset=100-10,1792,0%,1792,0%,~,p=1.000 n=6,1792,0%,~,p=1.000 n=6,1792,0%,~,p=1.000 n=6
Append/size=500_subset=100-10,4864,0%,12672,0%,+160.53%,p=0.002 n=6,4864,0%,~,p=1.000 n=6,4864,0%,~,p=1.000 n=6
Append/size=1000_subset=100-10,9472,0%,22912,0%,+141.89%,p=0.002 n=6,9472,0%,~,p=1.000 n=6,9472,0%,~,p=1.000 n=6
Append/size=5000_subset=100-10,40960,0%,125952,0%,+207.50%,p=0.002 n=6,40960,0%,~,p=1.000 n=6,40960,0%,~,p=1.000 n=6
Append/size=10000_subset=100-10,81920,0%,355329,0%,+333.75%,p=0.002 n=6,81920,0%,~,p=1.000 n=6,81920,0%,~,p=1.000 n=6
Append/size=50000_subset=100-10,401408,0%,1.952783e+06,0%,+386.48%,p=0.002 n=6,401408,0%,~,p=1.000 n=6,401409,0%,+0.00%,p=0.015 n=6
Append/size=100000_subset=100-10,802816,0%,4.099111e+06,0%,+410.59%,p=0.002 n=6,802830,0%,+0.00%,p=0.002 n=6,802828,0%,+0.00%,p=0.002 n=6
Append/size=500000_subset=100-10,4.005895e+06,0%,2.10811395e+07,0%,+426.25%,p=0.002 n=6,4.0058985e+06,0%,+0.00%,p=0.006 n=6,4.0058895e+06,0%,-0.00%,p=0.002 n=6
Append/size=1000000_subset=100-10,8.00359e+06,0%,4.16758385e+07,0%,+420.71%,p=0.002 n=6,8.0035945e+06,0%,~,p=0.074 n=6,8.0035885e+06,0%,~,p=0.201 n=6
Append/size=10_subset=500-10,6784,0%,6784,0%,~,p=1.000 n=6,4096,0%,-39.62%,p=0.002 n=6,4096,0%,-39.62%,p=0.002 n=6
Append/size=50_subset=500-10,6784,0%,6784,0%,~,p=1.000 n=6,4864,0%,-28.30%,p=0.002 n=6,4864,0%,-28.30%,p=0.002 n=6
Append/size=100_subset=500-10,6784,0%,6784,0%,~,p=1.000 n=6,4864,0%,-28.30%,p=0.002 n=6,4864,0%,-28.30%,p=0.002 n=6
Append/size=500_subset=500-10,9728,0%,17024,0%,+75.00%,p=0.002 n=6,8192,0%,-15.79%,p=0.002 n=6,8192,0%,-15.79%,p=0.002 n=6
Append/size=1000_subset=500-10,12288,0%,31360,0%,+155.21%,p=0.002 n=6,12288,0%,~,p=1.000 n=6,12288,0%,~,p=1.000 n=6
Append/size=5000_subset=500-10,49152,0%,177408,0%,+260.94%,p=0.002 n=6,49152,0%,~,p=1.000 n=6,49152,0%,~,p=1.000 n=6
Append/size=10000_subset=500-10,90112,0%,349441,0%,+287.79%,p=0.002 n=6,90112,0%,~,p=1.000 n=6,90112,0%,~,p=1.000 n=6
Append/size=50000_subset=500-10,409600,0%,1.9468875e+06,0%,+375.31%,p=0.002 n=6,409600,0%,~,p=0.455 n=6,409602,0%,~,p=0.113 n=6
Append/size=100000_subset=500-10,811008,0%,4.093199e+06,0%,+404.71%,p=0.002 n=6,811021.5,0%,+0.00%,p=0.002 n=6,811020,0%,+0.00%,p=0.002 n=6
Append/size=500000_subset=500-10,4.0058945e+06,0%,2.1075255e+07,0%,+426.11%,p=0.002 n=6,4.0058995e+06,0%,+0.00%,p=0.002 n=6,4.0058895e+06,0%,-0.00%,p=0.002 n=6
Append/size=1000000_subset=500-10,8.0117825e+06,0%,4.1669949e+07,0%,+420.11%,p=0.002 n=6,8.011785e+06,0%,+0.00%,p=0.022 n=6,8.01178e+06,0%,-0.00%,p=0.002 n=6
Append/size=10_subset=1000-10,12288,0%,12288,0%,~,p=1.000 n=6,8192,0%,-33.33%,p=0.002 n=6,8192,0%,-33.33%,p=0.002 n=6
Append/size=50_subset=1000-10,12288,0%,12288,0%,~,p=1.000 n=6,9472,0%,-22.92%,p=0.002 n=6,9472,0%,-22.92%,p=0.002 n=6
Append/size=100_subset=1000-10,12288,0%,12288,0%,~,p=1.000 n=6,9472,0%,-22.92%,p=0.002 n=6,9472,0%,-22.92%,p=0.002 n=6
Append/size=500_subset=1000-10,16384,0%,12288,0%,-25.00%,p=0.002 n=6,12288,0%,-25.00%,p=0.002 n=6,12288,0%,-25.00%,p=0.002 n=6
Append/size=1000_subset=1000-10,21760,0%,30720,0%,+41.18%,p=0.002 n=6,16384,0%,-24.71%,p=0.002 n=6,16384,0%,-24.71%,p=0.002 n=6
Append/size=5000_subset=1000-10,49152,0%,137216,0%,+179.17%,p=0.002 n=6,49152,0%,~,p=1.000 n=6,49152,0%,~,p=1.000 n=6
Append/size=10000_subset=1000-10,90112,0%,292865,0%,+225.00%,p=0.002 n=6,90112,0%,~,p=1.000 n=6,90112,0%,~,p=1.000 n=6
Append/size=50000_subset=1000-10,409600,0%,2.152457e+06,0%,+425.50%,p=0.002 n=6,409600,0%,~,p=1.000 n=6,409601,0%,+0.00%,p=0.002 n=6
Append/size=100000_subset=1000-10,811008,0%,4.478997e+06,0%,+452.28%,p=0.002 n=6,811025,0%,+0.00%,p=0.002 n=6,811020,0%,+0.00%,p=0.002 n=6
Append/size=500000_subset=1000-10,4.0140855e+06,0%,2.2771762e+07,0%,+467.30%,p=0.002 n=6,4.014089e+06,0%,+0.00%,p=0.002 n=6,4.014082e+06,0%,-0.00%,p=0.002 n=6
Append/size=1000000_subset=1000-10,8.011784e+06,0%,4.49311165e+07,0%,+460.81%,p=0.002 n=6,8.011786e+06,0%,+0.00%,p=0.002 n=6,8.011781e+06,0%,-0.00%,p=0.006 n=6
Append/size=10_subset=5000-10,57344,0%,57344,0%,~,p=1.000 n=6,40960,0%,-28.57%,p=0.002 n=6,40960,0%,-28.57%,p=0.002 n=6
Append/size=50_subset=5000-10,57344,0%,57344,0%,~,p=1.000 n=6,40960,0%,-28.57%,p=0.002 n=6,40960,0%,-28.57%,p=0.002 n=6
Append/size=100_subset=5000-10,57344,0%,57344,0%,~,p=1.000 n=6,40960,0%,-28.57%,p=0.002 n=6,40960,0%,-28.57%,p=0.002 n=6
Append/size=500_subset=5000-10,57344,0%,57344,0%,~,p=1.000 n=6,49152,0%,-14.29%,p=0.002 n=6,49152,0%,-14.29%,p=0.002 n=6
Append/size=1000_subset=5000-10,57344,0%,57344,0%,~,p=1.000 n=6,49152,0%,-14.29%,p=0.002 n=6,49152,0%,-14.29%,p=0.002 n=6
Append/size=5000_subset=5000-10,90112,0%,229376.5,0%,+154.55%,p=0.002 n=6,81920,0%,-9.09%,p=0.002 n=6,81920,0%,-9.09%,p=0.002 n=6
Append/size=10000_subset=5000-10,122880,0%,360449,0%,+193.33%,p=0.002 n=6,122880,0%,~,p=1.000 n=6,122880,0%,~,p=1.000 n=6
Append/size=50000_subset=5000-10,442368,0%,1.826822e+06,0%,+312.96%,p=0.002 n=6,442369,0%,+0.00%,p=0.015 n=6,442370,0%,+0.00%,p=0.002 n=6
Append/size=100000_subset=5000-10,843776,0%,3.9731335e+06,0%,+370.88%,p=0.002 n=6,843792,0%,+0.00%,p=0.002 n=6,843788.5,0%,+0.00%,p=0.002 n=6
Append/size=500000_subset=5000-10,4.0468535e+06,0%,2.0955201e+07,0%,+417.81%,p=0.002 n=6,4.0468565e+06,0%,+0.00%,p=0.009 n=6,4.046851e+06,0%,-0.00%,p=0.002 n=6
Append/size=1000000_subset=5000-10,8.044551e+06,0%,4.15498935e+07,0%,+416.50%,p=0.002 n=6,8.044554e+06,0%,+0.00%,p=0.004 n=6,8.0445485e+06,0%,-0.00%,p=0.013 n=6
Append/size=10_subset=10000-10,106496,0%,106496,0%,~,p=1.000 n=6,81920,0%,-23.08%,p=0.002 n=6,81920,0%,-23.08%,p=0.002 n=6
Append/size=50_subset=10000-10,106496,0%,106496,0%,~,p=1.000 n=6,81920,0%,-23.08%,p=0.002 n=6,81920,0%,-23.08%,p=0.002 n=6
Append/size=100_subset=10000-10,106496,0%,106496,0%,~,p=1.000 n=6,81920,0%,-23.08%,p=0.002 n=6,81920,0%,-23.08%,p=0.002 n=6
Append/size=500_subset=10000-10,106496,0%,106496,0%,~,p=1.000 n=6,90112,0%,-15.38%,p=0.002 n=6,90112,0%,-15.38%,p=0.002 n=6
Append/size=1000_subset=10000-10,106496,0%,106496,0%,~,p=1.000 n=6,90112,0%,-15.38%,p=0.002 n=6,90112,0%,-15.38%,p=0.002 n=6
Append/size=5000_subset=10000-10,131072,0%,245760,0%,+87.50%,p=0.002 n=6,122880,0%,-6.25%,p=0.002 n=6,122880,0%,-6.25%,p=0.002 n=6
Append/size=10000_subset=10000-10,163840,0%,425985,0%,+160.00%,p=0.002 n=6,163840,0%,~,p=1.000 n=6,163840,0%,~,p=1.000 n=6
Append/size=50000_subset=10000-10,483328,0%,2.4002625e+06,0%,+396.61%,p=0.002 n=6,483329,0%,~,p=0.177 n=6,483330,0%,+0.00%,p=0.013 n=6
Append/size=100000_subset=10000-10,884736,0%,4.1042125e+06,0%,+363.89%,p=0.002 n=6,884752,0%,+0.00%,p=0.002 n=6,884748.5,0%,+0.00%,p=0.002 n=6
Append/size=500000_subset=10000-10,4.0878145e+06,0%,2.2249534e+07,0%,+444.29%,p=0.002 n=6,4.087817e+06,0%,+0.00%,p=0.002 n=6,4.087811e+06,0%,-0.00%,p=0.002 n=6
Append/size=1000000_subset=10000-10,8.0855105e+06,0%,4.42122855e+07,0%,+446.81%,p=0.002 n=6,8.085514e+06,0%,+0.00%,p=0.002 n=6,8.085508e+06,0%,~,p=0.082 n=6
Append/size=10_subset=50000-10,507904,0%,507904,0%,~,p=1.000 n=6,401408,0%,-20.97%,p=0.002 n=6,401408,0%,-20.97%,p=0.002 n=6
Append/size=50_subset=50000-10,507904,0%,507904,0%,~,p=1.000 n=6,401408,0%,-20.97%,p=0.002 n=6,401408,0%,-20.97%,p=0.002 n=6
Append/size=100_subset=50000-10,507904,0%,507904,0%,~,p=1.000 n=6,401408,0%,-20.97%,p=0.002 n=6,401408,0%,-20.97%,p=0.002 n=6
Append/size=500_subset=50000-10,507904,0%,507904,0%,~,p=1.000 n=6,409600,0%,-19.35%,p=0.002 n=6,409600.5,0%,-19.35%,p=0.002 n=6
Append/size=1000_subset=50000-10,507904,0%,507904,0%,~,p=1.000 n=6,409600,0%,-19.35%,p=0.002 n=6,409600,0%,-19.35%,p=0.002 n=6
Append/size=5000_subset=50000-10,507905,0%,507905,0%,~,p=0.455 n=6,442368,0%,-12.90%,p=0.002 n=6,442368.5,0%,-12.90%,p=0.002 n=6
Append/size=10000_subset=50000-10,507905,0%,507905,0%,~,p=0.273 n=6,483329,0%,-4.84%,p=0.002 n=6,483329,0%,-4.84%,p=0.002 n=6
Append/size=50000_subset=50000-10,991232.5,0%,1.949705e+06,0%,+96.70%,p=0.002 n=6,802817,0%,-19.01%,p=0.002 n=6,802825,0%,-19.01%,p=0.002 n=6
Append/size=100000_subset=50000-10,1.204225e+06,0%,4.218896e+06,0%,+250.34%,p=0.002 n=6,1.204237e+06,0%,+0.00%,p=0.002 n=6,1.204232e+06,0%,+0.00%,p=0.002 n=6
Append/size=500000_subset=50000-10,4.407302e+06,0%,2.2110257e+07,0%,+401.67%,p=0.002 n=6,4.4073055e+06,0%,+0.00%,p=0.004 n=6,4.4073055e+06,0%,+0.00%,p=0.004 n=6
Append/size=1000000_subset=50000-10,8.404999e+06,0%,4.5301793e+07,0%,+438.99%,p=0.002 n=6,8.4050025e+06,0%,+0.00%,p=0.006 n=6,8.4049975e+06,0%,~,p=0.074 n=6
Append/size=10_subset=100000-10,1.007616e+06,0%,1.007617e+06,0%,~,p=0.242 n=6,802816,0%,-20.33%,p=0.002 n=6,802816,0%,-20.33%,p=0.002 n=6
Append/size=50_subset=100000-10,1.007617e+06,0%,1.007617e+06,0%,~,p=1.000 n=6,802816,0%,-20.33%,p=0.002 n=6,802816,0%,-20.33%,p=0.002 n=6
Append/size=100_subset=100000-10,1.007617e+06,0%,1.0076165e+06,0%,~,p=1.000 n=6,802816,0%,-20.33%,p=0.002 n=6,802816,0%,-20.33%,p=0.002 n=6
Append/size=500_subset=100000-10,1.007617e+06,0%,1.007617e+06,0%,~,p=1.000 n=6,811008,0%,-19.51%,p=0.002 n=6,811008,0%,-19.51%,p=0.002 n=6
Append/size=1000_subset=100000-10,1.007616e+06,0%,1.007617e+06,0%,~,p=0.242 n=6,811008,0%,-19.51%,p=0.002 n=6,811008,0%,-19.51%,p=0.002 n=6
Append/size=5000_subset=100000-10,1.0076165e+06,0%,1.0076165e+06,0%,~,p=1.000 n=6,843776,0%,-16.26%,p=0.002 n=6,843776,0%,-16.26%,p=0.002 n=6
Append/size=10000_subset=100000-10,1.0076165e+06,0%,1.007616e+06,0%,~,p=0.545 n=6,884736,0%,-12.20%,p=0.002 n=6,884737,0%,-12.20%,p=0.002 n=6
Append/size=50000_subset=100000-10,1.261569e+06,0%,2.269188e+06,0%,+79.87%,p=0.002 n=6,1.20423e+06,0%,-4.55%,p=0.002 n=6,1.2042375e+06,0%,-4.54%,p=0.002 n=6
Append/size=100000_subset=100000-10,1.966087e+06,0%,5.832727e+06,0%,+196.67%,p=0.002 n=6,1.60564e+06,0%,-18.33%,p=0.002 n=6,1.60564e+06,0%,-18.33%,p=0.002 n=6
Append/size=500000_subset=100000-10,4.800519e+06,0%,2.01605545e+07,0%,+319.97%,p=0.002 n=6,4.800519e+06,0%,~,p=1.000 n=6,4.800522e+06,0%,+0.00%,p=0.002 n=6
Append/size=1000000_subset=100000-10,8.806408e+06,0%,4.33521215e+07,0%,+392.28%,p=0.002 n=6,8.8064085e+06,0%,~,p=0.682 n=6,8.8064045e+06,0%,-0.00%,p=0.002 n=6
Append/size=10_subset=500000-10,5.0053185e+06,0%,5.0053185e+06,0%,~,p=1.000 n=6,4.005895e+06,0%,-19.97%,p=0.002 n=6,4.0059005e+06,0%,-19.97%,p=0.002 n=6
Append/size=50_subset=500000-10,5.00532e+06,0%,5.005318e+06,0%,-0.00%,p=0.037 n=6,4.005895e+06,0%,-19.97%,p=0.002 n=6,4.005901e+06,0%,-19.97%,p=0.002 n=6
Append/size=100_subset=500000-10,5.005321e+06,0%,5.00532e+06,0%,~,p=0.219 n=6,4.005895e+06,0%,-19.97%,p=0.002 n=6,4.0059e+06,0%,-19.97%,p=0.002 n=6
Append/size=500_subset=500000-10,5.005319e+06,0%,5.005319e+06,0%,~,p=0.803 n=6,4.0058945e+06,0%,-19.97%,p=0.002 n=6,4.0059005e+06,0%,-19.97%,p=0.002 n=6
Append/size=1000_subset=500000-10,5.0053195e+06,0%,5.00532e+06,0%,~,p=0.935 n=6,4.014087e+06,0%,-19.80%,p=0.002 n=6,4.014092e+06,0%,-19.80%,p=0.002 n=6
Append/size=5000_subset=500000-10,5.00532e+06,0%,5.0053195e+06,0%,~,p=0.784 n=6,4.046855e+06,0%,-19.15%,p=0.002 n=6,4.0468615e+06,0%,-19.15%,p=0.002 n=6
Append/size=10000_subset=500000-10,5.0053195e+06,0%,5.005321e+06,0%,~,p=0.080 n=6,4.087815e+06,0%,-18.33%,p=0.002 n=6,4.087822e+06,0%,-18.33%,p=0.002 n=6
Append/size=50000_subset=500000-10,5.005319e+06,0%,5.0053195e+06,0%,~,p=0.929 n=6,4.407303e+06,0%,-11.95%,p=0.002 n=6,4.407309e+06,0%,-11.95%,p=0.002 n=6
Append/size=100000_subset=500000-10,5.0053195e+06,0%,5.00532e+06,0%,~,p=0.364 n=6,4.800519e+06,0%,-4.09%,p=0.002 n=6,4.8005245e+06,0%,-4.09%,p=0.002 n=6
Append/size=500000_subset=500000-10,9.781256e+06,0%,2.8893226e+07,0%,+195.39%,p=0.002 n=6,8.003592e+06,0%,-18.17%,p=0.002 n=6,8.003585e+06,0%,-18.17%,p=0.002 n=6
Append/size=1000000_subset=500000-10,1.2001289e+07,0%,4.11484565e+07,0%,+242.87%,p=0.002 n=6,1.20012895e+07,0%,~,p=0.567 n=6,1.2001282e+07,0%,-0.00%,p=0.002 n=6
Append/size=10_subset=1000000-10,1.00024385e+07,0%,1.0002439e+07,0%,~,p=0.799 n=6,8.003591e+06,0%,-19.98%,p=0.002 n=6,8.003587e+06,0%,-19.98%,p=0.002 n=6
Append/size=50_subset=1000000-10,1.0002441e+07,0%,1.00024395e+07,0%,~,p=0.303 n=6,8.0035915e+06,0%,-19.98%,p=0.002 n=6,8.003587e+06,0%,-19.98%,p=0.002 n=6
Append/size=100_subset=1000000-10,1.00024405e+07,0%,1.0002439e+07,0%,~,p=0.413 n=6,8.003591e+06,0%,-19.98%,p=0.002 n=6,8.003587e+06,0%,-19.98%,p=0.002 n=6
Append/size=500_subset=1000000-10,1.00024385e+07,0%,1.000244e+07,0%,~,p=0.273 n=6,8.011783e+06,0%,-19.90%,p=0.002 n=6,8.011779e+06,0%,-19.90%,p=0.002 n=6
Append/size=1000_subset=1000000-10,1.0002439e+07,0%,1.0002441e+07,0%,~,p=0.199 n=6,8.0117825e+06,0%,-19.90%,p=0.002 n=6,8.0117795e+06,0%,-19.90%,p=0.002 n=6
Append/size=5000_subset=1000000-10,1.00024395e+07,0%,1.000244e+07,0%,~,p=0.671 n=6,8.0445515e+06,0%,-19.57%,p=0.002 n=6,8.044547e+06,0%,-19.57%,p=0.002 n=6
Append/size=10000_subset=1000000-10,1.00024395e+07,0%,1.00024405e+07,0%,~,p=0.511 n=6,8.085511e+06,0%,-19.16%,p=0.002 n=6,8.085507e+06,0%,-19.16%,p=0.002 n=6
Append/size=50000_subset=1000000-10,1.0002439e+07,0%,1.0002439e+07,0%,~,p=0.974 n=6,8.404999e+06,0%,-15.97%,p=0.002 n=6,8.4049945e+06,0%,-15.97%,p=0.002 n=6
Append/size=100000_subset=1000000-10,1.00024405e+07,0%,1.00024405e+07,0%,~,p=0.760 n=6,8.806409e+06,0%,-11.96%,p=0.002 n=6,8.806402e+06,0%,-11.96%,p=0.002 n=6
Append/size=500000_subset=1000000-10,1.25091915e+07,0%,2.2511634e+07,0%,+79.96%,p=0.002 n=6,1.2001289e+07,0%,-4.06%,p=0.002 n=6,1.2001284e+07,0%,-4.06%,p=0.002 n=6
Append/size=1000000_subset=1000000-10,1.9546118e+07,0%,5.77044795e+07,0%,+195.22%,p=0.002 n=6,1.60071745e+07,0%,-18.11%,p=0.002 n=6,1.60071705e+07,0%,-18.11%,p=0.002 n=6
geomean,330044.41221331595,,668974.7242714269,,+102.69%,,293302.3611343286,,-11.13%,,293302.35322219686,,-11.13%,

,BenchmarkAppend-expand.txt,,BenchmarkAppend-for.txt,,,,BenchmarkAppend-for_index.txt,,,,BenchmarkAppend-for_prealloc.txt,,,
,allocs/op,CI,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P
Append/size=10_subset=10-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50_subset=10-10,1,0%,3,0%,+200.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100_subset=10-10,1,0%,4,0%,+300.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500_subset=10-10,1,0%,6,0%,+500.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000_subset=10-10,1,0%,7,0%,+600.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=5000_subset=10-10,1,0%,11,0%,+1000.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10000_subset=10-10,1,0%,14,0%,+1300.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50000_subset=10-10,1,0%,20,0%,+1900.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100000_subset=10-10,1,0%,23,0%,+2200.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500000_subset=10-10,1,0%,30,0%,+2900.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000000_subset=10-10,1,0%,33,0%,+3200.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10_subset=50-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50_subset=50-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100_subset=50-10,1,0%,2,0%,+100.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500_subset=50-10,1,0%,4,0%,+300.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000_subset=50-10,1,0%,5,0%,+400.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=5000_subset=50-10,1,0%,9,0%,+800.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10000_subset=50-10,1,0%,12,0%,+1100.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50000_subset=50-10,1,0%,18,0%,+1700.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100000_subset=50-10,1,0%,21,0%,+2000.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500000_subset=50-10,1,0%,28,0%,+2700.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000000_subset=50-10,1,0%,31,0%,+3000.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10_subset=100-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50_subset=100-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100_subset=100-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500_subset=100-10,1,0%,3,0%,+200.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
