goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkLinearVsRandomAccess/records=32768-10      	    4220	     26814 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=32768-10      	    4346	     26939 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=32768-10      	    4816	     26801 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=32768-10      	    4846	     26860 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=65536-10      	    2178	     56648 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=65536-10      	    2140	     55476 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=65536-10      	    2079	     56218 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=65536-10      	    2265	     55261 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=65536-10      	    2181	     55505 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=65536-10      	    2260	     55236 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	8.074s
