goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkNeedleInAHaystack/size=50_iterations=500-10        	   22148	      5440 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=500-10        	   21525	      5505 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=1000-10       	   10000	     10866 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=1000-10       	   10000	     10865 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=1000-10       	   10000	     10762 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=1000-10       	   10000	     10631 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=1000-10       	   10000	     10840 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=1000-10       	    9944	     10702 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=10-10        	  524227	       235.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=10-10        	  500712	       234.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=10-10        	  478309	       235.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=10-10        	  521577	       235.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=10-10        	  512646	       238.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=10-10        	  526825	       233.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=50-10        	  111804	      1158 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=50-10        	   98438	      1180 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=50-10        	   95134	      1163 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=50-10        	  116853	      1063 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=50-10        	  110080	      1062 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=50-10        	  112200	      1069 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=100-10       	   59060	      2231 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=100-10       	   53619	      2294 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=100-10       	   54920	      2238 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=100-10       	   50706	      2268 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=100-10       	   46176	      2393 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=100-10       	   53958	      2253 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=500-10       	   10287	     11606 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=500-10       	   10000	     11235 ns/op	       0 B/op	       0 allocs/op
