goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkIfSwitch/cases=5_workload=miss-10          	  249661	       402.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=miss-10          	  309729	       390.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=miss-10          	  371890	       394.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=miss-10          	  271572	       380.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=miss-10          	  557059	       354.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=cycle-10         	  517706	       278.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=cycle-10         	  542361	       253.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=cycle-10         	  443799	       297.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=cycle-10         	  502740	       275.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=cycle-10         	  474409	       259.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=cycle-10         	  440131	       266.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=random-10        	  260140	       426.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=random-10        	  279548	       411.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=random-10        	  277138	       427.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=random-10        	  275959	       405.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=random-10        	  314808	       424.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=random-10        	  278434	       425.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=first-10         	 1000000	       108.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=first-10         	 1000000	       106.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=first-10         	 1000000	       104.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=first-10         	  952884	       105.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=first-10         	 1062168	       114.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=first-10         	 1000000	       113.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=middle-10        	  492920	       237.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=middle-10        	  581864	       226.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=middle-10        	  607094	       231.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=middle-10        	  572496	       219.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=middle-10        	  665587	       216.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=middle-10        	  491528	       237.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=last-10          	  281905	       427.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=last-10          	  325555	       427.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=last-10          	  246336	       417.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=last-10          	  248898	       413.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=last-10          	  307323	       394.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=last-10          	  334700	       419.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=miss-10          	  263641	       422.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=miss-10          	  246919	       418.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=miss-10          	  309896	       424.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=miss-10          	  306441	       398.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=miss-10          	  302338	       407.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=miss-10          	  335766	       408.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=cycle-10         	  327562	       414.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=cycle-10         	  280558	       412.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=cycle-10         	  297656	       406.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=cycle-10         	  289845	       421.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=cycle-10         	  285124	       490.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=cycle-10         	  246952	       438.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=random-10        	  216313	       534.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=random-10        	  243172	       519.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=random-10        	  220694	       515.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=random-10        	  250794	       548.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=random-10        	  276271	       470.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=9_workload=random-10        	  248746	       493.2 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	13.373s
