goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkSubset/size=100_subset=50-10        	  189661	       644.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=50-10        	   39470	      3047 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=50-10        	   39181	      3043 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=50-10        	   39114	      3059 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=50-10        	   39860	      3224 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=50-10        	   37042	      3100 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=50-10        	   39422	      3048 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=50-10       	   22246	      5396 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=50-10       	   22201	      5374 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=50-10       	   22298	      5390 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=50-10       	   22225	      5397 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=50-10       	   22272	      5412 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=50-10       	   22317	      5386 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=50-10       	    4530	     25952 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=50-10       	    4626	     25942 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=50-10       	    4652	     25907 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=50-10       	    4630	     25904 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=50-10       	    4509	     25914 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=50-10       	    4671	     25935 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=50-10      	    2293	     52141 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=50-10      	    2338	     51783 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=50-10      	    2292	     51891 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=50-10      	    2301	     51863 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=50-10      	    2353	     51722 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=50-10      	    2329	     51595 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=100-10        	  375165	       319.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=100-10        	  372752	       318.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=100-10        	  384219	       315.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=100-10        	  380272	       315.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=100-10        	  375944	       316.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=100-10        	  384753	       315.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=100-10        	  141981	       839.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=100-10        	  144022	       838.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=100-10        	  144526	       834.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=100-10        	  141841	       836.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=100-10        	  143343	       839.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=100-10        	  143613	       838.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=100-10       	   91912	      1303 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=100-10       	   94158	      1296 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=100-10       	   92077	      1295 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=100-10       	   94470	      1289 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=100-10       	   93070	      1292 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=100-10       	   94350	      1289 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=100-10       	   21729	      5509 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=100-10       	   21871	      5482 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=100-10       	   21856	      5486 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=100-10       	   21937	      5480 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=100-10       	   21709	      5514 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=100-10       	   21932	      5483 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=100-10      	   10000	     12058 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=100-10      	   10000	     11999 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=100-10      	   10000	     11970 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=100-10      	    9908	     11975 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=100-10      	    9424	     11946 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=100-10      	   10000	     11895 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=100-10      	    2071	     57044 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=100-10      	    1976	     56899 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=100-10      	    2064	     56769 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=100-10      	    2110	     56585 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=100-10      	    2020	     56644 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=100-10      	    2119	     56608 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=100-10     	     967	    124545 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=100-10     	     961	    124011 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=100-10     	     943	    124140 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=100-10     	     963	    123938 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=100-10     	     970	    124004 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=100-10     	     975	    123975 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=500-10        	  101625	      1191 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=500-10        	   98047	      1212 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=500-10        	   97515	      1190 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=500-10        	  100477	      1193 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=500-10        	   98697	      1210 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=500-10        	  101280	      1190 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=500-10        	   26416	      4542 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=500-10        	   26444	      4548 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=500-10        	   26403	      4600 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=500-10        	   26425	      4545 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=500-10        	   26524	      4530 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=500-10        	   26406	      4543 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=500-10       	   14119	      8490 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=500-10       	   14132	      8496 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=500-10       	   14182	      8443 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=500-10       	   14210	      8461 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=500-10       	   14203	      8458 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=500-10       	   14156	      8463 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=500-10       	    4353	     27010 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=500-10       	    4466	     26985 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=500-10       	    4447	     26962 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=500-10       	    4429	     27019 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=500-10       	    4478	     27055 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=500-10       	    4356	     27041 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=500-10      	    2443	     50045 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=500-10      	    2388	     49959 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=500-10      	    2415	     49824 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=500-10      	    2388	     49824 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=500-10      	    2420	     49756 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=500-10      	    2396	     49839 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=500-10      	     453	    264617 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=500-10      	     453	    264398 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=500-10      	     450	    265227 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=500-10      	     452	    264073 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=500-10      	     453	    264325 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=500-10      	     452	    264923 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=500-10     	     228	    524466 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=500-10     	     229	    523865 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=500-10     	     228	    525335 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=500-10     	     228	    525338 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=500-10     	     226	    526276 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=500-10     	     228	    525476 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=1000-10       	   55062	      2169 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=1000-10       	   55363	      2169 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=1000-10       	   55653	      2171 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=1000-10       	   55634	      2169 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=1000-10       	   55480	      2167 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=1000-10       	   55335	      2171 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=1000-10       	   13027	      9205 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=1000-10       	   13206	      9093 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=1000-10       	   13210	      9088 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=1000-10       	   13203	      9098 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=1000-10       	   13206	      9085 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=1000-10       	   13209	      9080 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=1000-10      	    7936	     15215 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=1000-10      	    8048	     15189 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=1000-10      	    7934	     15128 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=1000-10      	    7909	     15133 ns/op	       0 B/op	       0 allocs/op
