goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M1
BenchmarkConcat/size=10_iterations=5000-8       	   16687	     71981 ns/op	  285539 B/op	      21 allocs/op
BenchmarkConcat/size=10_iterations=5000-8       	   16926	     73589 ns/op	  285538 B/op	      21 allocs/op
BenchmarkConcat/size=10_iterations=10000-8      	   10000	    130387 ns/op	  515002 B/op	      23 allocs/op
BenchmarkConcat/size=10_iterations=10000-8      	   10000	    127574 ns/op	  515003 B/op	      23 allocs/op
BenchmarkConcat/size=10_iterations=10000-8      	   10000	    116866 ns/op	  515001 B/op	      23 allocs/op
BenchmarkConcat/size=10_iterations=10000-8      	    9956	    123029 ns/op	  515003 B/op	      23 allocs/op
BenchmarkConcat/size=10_iterations=10000-8      	    7867	    143017 ns/op	  515008 B/op	      23 allocs/op
BenchmarkConcat/size=10_iterations=10000-8      	   10000	    147511 ns/op	  515004 B/op	      23 allocs/op
BenchmarkConcat/size=10_iterations=10000-8      	    8017	    153492 ns/op	  515009 B/op	      23 allocs/op
BenchmarkConcat/size=10_iterations=10000-8      	    8907	    145852 ns/op	  515008 B/op	      23 allocs/op
BenchmarkConcat/size=10_iterations=10000-8      	    7143	    147801 ns/op	  515007 B/op	      23 allocs/op
BenchmarkConcat/size=10_iterations=10000-8      	   10000	    121719 ns/op	  515004 B/op	      23 allocs/op
BenchmarkConcat/size=10_iterations=50000-8      	    1340	    863508 ns/op	 3243961 B/op	      34 allocs/op
BenchmarkConcat/size=10_iterations=50000-8      	    1407	    891883 ns/op	 3243961 B/op	      34 allocs/op
BenchmarkConcat/size=10_iterations=50000-8      	    1382	    862213 ns/op	 3243963 B/op	      34 allocs/op
BenchmarkConcat/size=10_iterations=50000-8      	    1407	    856025 ns/op	 3243954 B/op	      34 allocs/op
BenchmarkConcat/size=10_iterations=50000-8      	    1507	    789012 ns/op	 3243957 B/op	      34 allocs/op
BenchmarkConcat/size=10_iterations=50000-8      	    1584	    861303 ns/op	 3243953 B/op	      34 allocs/op
BenchmarkConcat/size=10_iterations=50000-8      	    1406	    919869 ns/op	 3243966 B/op	      34 allocs/op
BenchmarkConcat/size=10_iterations=50000-8      	    1239	    911021 ns/op	 3243971 B/op	      34 allocs/op
BenchmarkConcat/size=10_iterations=50000-8      	    1585	    967504 ns/op	 3243961 B/op	      34 allocs/op
BenchmarkConcat/size=10_iterations=50000-8      	    1372	    920256 ns/op	 3243965 B/op	      34 allocs/op
BenchmarkConcat/size=10_iterations=100000-8     	     597	   2045909 ns/op	 6643718 B/op	      39 allocs/op
BenchmarkConcat/size=10_iterations=100000-8     	     626	   1931170 ns/op	 6643719 B/op	      39 allocs/op
BenchmarkConcat/size=10_iterations=100000-8     	     610	   1987585 ns/op	 6643713 B/op	      39 allocs/op
BenchmarkConcat/size=10_iterations=100000-8     	     615	   2083762 ns/op	 6643721 B/op	      39 allocs/op
BenchmarkConcat/size=10_iterations=100000-8     	     540	   2066398 ns/op	 6643695 B/op	      39 allocs/op
BenchmarkConcat/size=10_iterations=100000-8     	     592	   2123043 ns/op	 6643712 B/op	      39 allocs/op
BenchmarkConcat/size=10_iterations=100000-8     	     465	   2332858 ns/op	 6643719 B/op	      39 allocs/op
BenchmarkConcat/size=10_iterations=100000-8     	     568	   2297861 ns/op	 6643713 B/op	      39 allocs/op
BenchmarkConcat/size=10_iterations=100000-8     	     501	   2393036 ns/op	 6643711 B/op	      39 allocs/op
BenchmarkConcat/size=10_iterations=100000-8     	     489	   2384922 ns/op	 6643643 B/op	      39 allocs/op
BenchmarkConcat/size=10_iterations=500000-8     	     100	  12099772 ns/op	33259594 B/op	      49 allocs/op
BenchmarkConcat/size=10_iterations=500000-8     	     100	  10337978 ns/op	33259611 B/op	      49 allocs/op
BenchmarkConcat/size=10_iterations=500000-8     	     120	  10008052 ns/op	33259591 B/op	      49 allocs/op
BenchmarkConcat/size=10_iterations=500000-8     	     123	   9668090 ns/op	33259626 B/op	      50 allocs/op
BenchmarkConcat/size=10_iterations=500000-8     	     120	   9685522 ns/op	33259625 B/op	      49 allocs/op
BenchmarkConcat/size=10_iterations=500000-8     	     138	   8676788 ns/op	33259610 B/op	      50 allocs/op
BenchmarkConcat/size=10_iterations=500000-8     	     132	   9243765 ns/op	33259578 B/op	      48 allocs/op
BenchmarkConcat/size=10_iterations=500000-8     	     128	   9113757 ns/op	33259596 B/op	      49 allocs/op
BenchmarkConcat/size=10_iterations=500000-8     	     122	   9917911 ns/op	33259626 B/op	      50 allocs/op
BenchmarkConcat/size=10_iterations=500000-8     	     122	  10008957 ns/op	33259636 B/op	      50 allocs/op
BenchmarkConcat/size=10_iterations=1000000-8    	      69	  19332063 ns/op	65470566 B/op	      52 allocs/op
BenchmarkConcat/size=10_iterations=1000000-8    	      60	  18974388 ns/op	65470556 B/op	      52 allocs/op
BenchmarkConcat/size=10_iterations=1000000-8    	      58	  18944316 ns/op	65470576 B/op	      53 allocs/op
BenchmarkConcat/size=10_iterations=1000000-8    	      70	  17713148 ns/op	65470563 B/op	      52 allocs/op
BenchmarkConcat/size=10_iterations=1000000-8    	      67	  17670987 ns/op	65470567 B/op	      52 allocs/op
BenchmarkConcat/size=10_iterations=1000000-8    	      55	  19191811 ns/op	65470567 B/op	      52 allocs/op
BenchmarkConcat/size=10_iterations=1000000-8    	      69	  19012944 ns/op	65470590 B/op	      53 allocs/op
BenchmarkConcat/size=10_iterations=1000000-8    	      70	  18000035 ns/op	65470552 B/op	      52 allocs/op
BenchmarkConcat/size=10_iterations=1000000-8    	      74	  17106950 ns/op	65470549 B/op	      52 allocs/op
BenchmarkConcat/size=10_iterations=1000000-8    	      75	  17859401 ns/op	65470565 B/op	      53 allocs/op
BenchmarkConcat/size=50_iterations=10-8         	 2147887	       565.8 ns/op	    2528 B/op	       5 allocs/op
BenchmarkConcat/size=50_iterations=10-8         	 1979562	       571.2 ns/op	    2528 B/op	       5 allocs/op
BenchmarkConcat/size=50_iterations=10-8         	 2121184	       549.3 ns/op	    2528 B/op	       5 allocs/op
BenchmarkConcat/size=50_iterations=10-8         	 2126242	       532.1 ns/op	    2528 B/op	       5 allocs/op
BenchmarkConcat/size=50_iterations=10-8         	 2102214	       571.0 ns/op	    2528 B/op	       5 allocs/op
BenchmarkConcat/size=50_iterations=10-8         	 2154760	       549.3 ns/op	    2528 B/op	       5 allocs/op
BenchmarkConcat/size=50_iterations=10-8         	 2183022	       536.3 ns/op	    2528 B/op	       5 allocs/op
BenchmarkConcat/size=50_iterations=10-8         	 1568542	       683.2 ns/op	    2528 B/op	       5 allocs/op
BenchmarkConcat/size=50_iterations=10-8         	 2191197	       635.0 ns/op	    2528 B/op	       5 allocs/op
BenchmarkConcat/size=50_iterations=10-8         	 2160242	       545.8 ns/op	    2528 B/op	       5 allocs/op
BenchmarkConcat/size=50_iterations=50-8         	  350176	      3989 ns/op	   16486 B/op	       9 allocs/op
BenchmarkConcat/size=50_iterations=50-8         	  332469	      5511 ns/op	   16486 B/op	       9 allocs/op
BenchmarkConcat/size=50_iterations=50-8         	  227276	      4905 ns/op	   16486 B/op	       9 allocs/op
BenchmarkConcat/size=50_iterations=50-8         	  316814	      4988 ns/op	   16486 B/op	       9 allocs/op
BenchmarkConcat/size=50_iterations=50-8         	  318195	      3458 ns/op	   16486 B/op	       9 allocs/op
BenchmarkConcat/size=50_iterations=50-8         	  424088	      3008 ns/op	   16486 B/op	       9 allocs/op
BenchmarkConcat/size=50_iterations=50-8         	  469930	      2691 ns/op	   16486 B/op	       9 allocs/op
BenchmarkConcat/size=50_iterations=50-8         	  476844	      2750 ns/op	   16486 B/op	       9 allocs/op
BenchmarkConcat/size=50_iterations=50-8         	  371588	      2885 ns/op	   16486 B/op	       9 allocs/op
BenchmarkConcat/size=50_iterations=50-8         	  490938	      2929 ns/op	   16486 B/op	       9 allocs/op
BenchmarkConcat/size=50_iterations=100-8        	  168300	      7654 ns/op	   45170 B/op	      12 allocs/op
BenchmarkConcat/size=50_iterations=100-8        	  146967	      7409 ns/op	   45170 B/op	      12 allocs/op
BenchmarkConcat/size=50_iterations=100-8        	  176064	      8620 ns/op	   45170 B/op	      12 allocs/op
BenchmarkConcat/size=50_iterations=100-8        	  139699	      7837 ns/op	   45170 B/op	      12 allocs/op
BenchmarkConcat/size=50_iterations=100-8        	  142846	      9157 ns/op	   45170 B/op	      12 allocs/op
BenchmarkConcat/size=50_iterations=100-8        	  144822	      7604 ns/op	   45170 B/op	      12 allocs/op
BenchmarkConcat/size=50_iterations=100-8        	  123776	      9076 ns/op	   45170 B/op	      12 allocs/op
BenchmarkConcat/size=50_iterations=100-8        	  153248	      8060 ns/op	   45171 B/op	      12 allocs/op
BenchmarkConcat/size=50_iterations=100-8        	  101968	     10929 ns/op	   45170 B/op	      12 allocs/op
BenchmarkConcat/size=50_iterations=100-8        	  168637	      6901 ns/op	   45170 B/op	      12 allocs/op
BenchmarkConcat/size=50_iterations=500-8        	   28162	     38907 ns/op	  210362 B/op	      17 allocs/op
BenchmarkConcat/size=50_iterations=500-8        	   32263	     36652 ns/op	  210362 B/op	      17 allocs/op
BenchmarkConcat/size=50_iterations=500-8        	   28101	     41383 ns/op	  210361 B/op	      17 allocs/op
BenchmarkConcat/size=50_iterations=500-8        	   29745	     39454 ns/op	  210362 B/op	      17 allocs/op
BenchmarkConcat/size=50_iterations=500-8        	
