goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,BenchmarkBuildSlice-append_growth.txt,,BenchmarkBuildSlice-append_prealloc.txt,,,,BenchmarkBuildSlice-index_presized.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
BuildSlice/size=8_length=100000-10,4.101366e+06,0%,802841.5,0%,-80.43%,p=0.002 n=6,802841.5,0%,-80.43%,p=0.002 n=6
BuildSlice/size=32_length=10-10,984,0%,344,0%,-65.04%,p=0.002 n=6,344,0%,-65.04%,p=0.002 n=6
BuildSlice/size=32_length=50-10,4056,0%,1816,0%,-55.23%,p=0.002 n=6,1816,0%,-55.23%,p=0.002 n=6
BuildSlice/size=32_length=100-10,8152,0%,3224,0%,-60.45%,p=0.002 n=6,3224,0%,-60.45%,p=0.002 n=6
BuildSlice/size=32_length=500-10,32728,0%,16408,0%,-49.87%,p=0.002 n=6,16408,0%,-49.87%,p=0.002 n=6
BuildSlice/size=32_length=1000-10,100953,0%,32792,0%,-67.52%,p=0.002 n=6,32792,0%,-67.52%,p=0.002 n=6
BuildSlice/size=32_length=5000-10,715361.5,0%,163864,0%,-77.09%,p=0.002 n=6,163864,0%,-77.09%,p=0.002 n=6
BuildSlice/size=32_length=10000-10,1.313388e+06,0%,327705,0%,-75.05%,p=0.002 n=6,327705,0%,-75.05%,p=0.002 n=6
BuildSlice/size=32_length=50000-10,8.0554525e+06,0%,1.605658e+06,0%,-80.07%,p=0.002 n=6,1.605658e+06,0%,-80.07%,p=0.002 n=6
BuildSlice/size=32_length=100000-10,1.64030905e+07,0%,3.203098e+06,0%,-80.47%,p=0.002 n=6,3.203098e+06,0%,-80.47%,p=0.002 n=6
BuildSlice/size=128_length=10-10,3992,0%,1304,0%,-67.33%,p=0.002 n=6,1304,0%,-67.33%,p=0.002 n=6
BuildSlice/size=128_length=50-10,16280,0%,6552,0%,-59.75%,p=0.002 n=6,6552,0%,-59.75%,p=0.002 n=6
BuildSlice/size=128_length=100-10,32664,0%,13592,0%,-58.39%,p=0.002 n=6,13592,0%,-58.39%,p=0.002 n=6
BuildSlice/size=128_length=500-10,130970.5,0%,65560,0%,-49.94%,p=0.002 n=6,65560,0%,-49.94%,p=0.002 n=6
BuildSlice/size=128_length=1000-10,401311.5,0%,131096,0%,-67.33%,p=0.002 n=6,131096,0%,-67.33%,p=0.002 n=6
BuildSlice/size=128_length=5000-10,2.621349e+06,0%,647204,0%,-75.31%,p=0.002 n=6,647193,0%,-75.31%,p=0.002 n=6
BuildSlice/size=128_length=10000-10,6.201279e+06,0%,1.286175e+06,0%,-79.26%,p=0.002 n=6,1.28617e+06,0%,-79.26%,p=0.002 n=6
BuildSlice/size=128_length=50000-10,3.55614125e+07,0%,6.40617e+06,0%,-81.99%,p=0.002 n=6,6.406169e+06,0%,-81.99%,p=0.002 n=6
BuildSlice/size=128_length=100000-10,7.15734115e+07,0%,1.28041205e+07,0%,-82.11%,p=0.002 n=6,1.28041205e+07,0%,-82.11%,p=0.002 n=6
geomean,132473.8797360506,,40834.516441736756,,-69.18%,,40834.48650491426,,-69.18%,

,BenchmarkBuildSlice-append_growth.txt,,BenchmarkBuildSlice-append_prealloc.txt,,,,BenchmarkBuildSlice-index_presized.txt,,,
,allocs/op,CI,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P
BuildSlice/size=8_length=10-10,3,0%,2,0%,-33.33%,p=0.002 n=6,2,0%,-33.33%,p=0.002 n=6
BuildSlice/size=8_length=50-10,5,0%,2,0%,-60.00%,p=0.002 n=6,2,0%,-60.00%,p=0.002 n=6
BuildSlice/size=8_length=100-10,6,0%,2,0%,-66.67%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
BuildSlice/size=8_length=500-10,8,0%,2,0%,-75.00%,p=0.002 n=6,2,0%,-75.00%,p=0.002 n=6
BuildSlice/size=8_length=1000-10,10,0%,2,0%,-80.00%,p=0.002 n=6,2,0%,-80.00%,p=0.002 n=6
BuildSlice/size=8_length=5000-10,14,0%,2,0%,-85.71%,p=0.002 n=6,2,0%,-85.71%,p=0.002 n=6
BuildSlice/size=8_length=10000-10,17,0%,2,0%,-88.24%,p=0.002 n=6,2,0%,-88.24%,p=0.002 n=6
BuildSlice/size=8_length=50000-10,23,0%,2,0%,-91.30%,p=0.002 n=6,2,0%,-91.30%,p=0.002 n=6
BuildSlice/size=8_length=100000-10,26,0%,2,0%,-92.31%,p=0.002 n=6,2,0%,-92.31%,p=0.002 n=6
BuildSlice/size=32_length=10-10,5,0%,2,0%,-60.00%,p=0.002 n=6,2,0%,-60.00%,p=0.002 n=6
BuildSlice/size=32_length=50-10,7,0%,2,0%,-71.43%,p=0.002 n=6,2,0%,-71.43%,p=0.002 n=6
BuildSlice/size=32_length=100-10,8,0%,2,0%,-75.00%,p=0.002 n=6,2,0%,-75.00%,p=0.002 n=6
BuildSlice/size=32_length=500-10,10,0%,2,0%,-80.00%,p=0.002 n=6,2,0%,-80.00%,p=0.002 n=6
BuildSlice/size=32_length=1000-10,12,0%,2,0%,-83.33%,p=0.002 n=6,2,0%,-83.33%,p=0.002 n=6
BuildSlice/size=32_length=5000-10,17,0%,2,0%,-88.24%,p=0.002 n=6,2,0%,-88.24%,p=0.002 n=6
BuildSlice/size=32_length=10000-10,19,0%,2,0%,-89.47%,p=0.002 n=6,2,0%,-89.47%,p=0.002 n=6
BuildSlice/size=32_length=50000-10,26,0%,2,0%,-92.31%,p=0.002 n=6,2,0%,-92.31%,p=0.002 n=6
BuildSlice/size=32_length=100000-10,29,0%,2,0%,-93.10%,p=0.002 n=6,2,0%,-93.10%,p=0.002 n=6
BuildSlice/size=128_length=10-10,6,0%,2,0%,-66.67%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
BuildSlice/size=128_length=50-10,8,0%,2,0%,-75.00%,p=0.002 n=6,2,0%,-75.00%,p=0.002 n=6
BuildSlice/size=128_length=100-10,9,0%,2,0%,-77.78%,p=0.002 n=6,2,0%,-77.78%,p=0.002 n=6
BuildSlice/size=128_length=500-10,11,0%,2,0%,-81.82%,p=0.002 n=6,2,0%,-81.82%,p=0.002 n=6
BuildSlice/size=128_length=1000-10,13,0%,2,0%,-84.62%,p=0.002 n=6,2,0%,-84.62%,p=0.002 n=6
BuildSlice/size=128_length=5000-10,18,0%,2,0%,-88.89%,p=0.002 n=6,2,0%,-88.89%,p=0.002 n=6
BuildSlice/size=128_length=10000-10,21,0%,2,0%,-90.48%,p=0.002 n=6,2,0%,-90.48%,p=0.002 n=6
BuildSlice/size=128_length=50000-10,28,0%,2,0%,-92.86%,p=0.002 n=6,2,0%,-92.86%,p=0.002 n=6
BuildSlice/size=128_length=100000-10,31,0%,2,0%,-93.55%,p=0.002 n=6,2,0%,-93.55%,p=0.002 n=6
geomean,12.094996420291924,,2,,-83.46%,,2,,-83.46%,
