goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkStringByteConversion/size=256_iterations=10-10       	  128389	       930.7 ns/op	    2560 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  128548	       930.9 ns/op	    2560 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  129097	       938.9 ns/op	    2560 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  130776	       932.5 ns/op	    2560 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  129013	       934.6 ns/op	    2560 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  126735	       936.6 ns/op	    2560 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   12793	      9369 ns/op	   25600 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   12912	      9278 ns/op	   25600 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   12867	      9364 ns/op	   25600 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   12976	      9258 ns/op	   25600 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   12925	      9297 ns/op	   25600 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   12855	      9305 ns/op	   25600 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1304	     92674 ns/op	  256000 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1312	     92572 ns/op	  256000 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1308	     92741 ns/op	  256000 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1309	     92470 ns/op	  256000 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1297	     92505 ns/op	  256000 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1287	     92741 ns/op	  256000 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  373836	       318.1 ns/op	    1024 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  393597	       316.9 ns/op	    1024 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  389768	       317.4 ns/op	    1024 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  395668	       315.6 ns/op	    1024 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  393495	       317.4 ns/op	    1024 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  392728	       316.1 ns/op	    1024 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   38077	      3344 ns/op	   10240 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   34188	      3407 ns/op	   10240 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   31479	      3917 ns/op	   10240 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   19408	      5256 ns/op	   10240 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   28956	      4268 ns/op	   10240 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   27902	      3892 ns/op	   10240 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    3352	     35837 ns/op	  102400 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    3771	     35745 ns/op	  102400 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    3818	     34138 ns/op	  102400 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    3418	     33071 ns/op	  102400 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    3334	     34307 ns/op	  102400 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    3826	     34157 ns/op	  102400 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     379	    320476 ns/op	 1024003 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     361	    340997 ns/op	 1024004 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     356	    328156 ns/op	 1024002 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     376	    318434 ns/op	 1024003 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     380	    320119 ns/op	 1024002 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     362	    319177 ns/op	 1024004 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	   98727	      1210 ns/op	    4096 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	   98851	      1204 ns/op	    4096 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  100071	      1203 ns/op	    4096 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  101026	      1204 ns/op	    4096 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  101044	      1204 ns/op	    4096 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	   98860	      1207 ns/op	    4096 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	    9636	     12056 ns/op	   40960 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   10000	     12021 ns/op	   40960 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   10000	     12261 ns/op	   40960 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   10000	     12109 ns/op	   40960 B/op	      10 allocs/op
