goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkReturnValueVsPointer/size=384-10       	    5559	     22497 ns/op	   98304 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=384-10       	    5206	     22569 ns/op	   98304 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=512-10       	    4242	     29455 ns/op	  131072 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=512-10       	    4323	     29449 ns/op	  131072 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=512-10       	    4125	     29462 ns/op	  131072 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=512-10       	    4267	     29494 ns/op	  131072 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=512-10       	    4285	     29450 ns/op	  131072 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=512-10       	    4272	     29542 ns/op	  131072 B/op	     256 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	8.305s
