goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,BenchmarkSubset-map.txt,,BenchmarkSubset-slice.txt,,,,BenchmarkSubset-slice_sort_binsearch.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Subset/size=50_subset=5000-10,9.7646e-05,1%,4.17045e-05,0%,-57.29%,p=0.002 n=6,0.00010431400000000002,1%,+6.83%,p=0.002 n=6
Subset/size=100_subset=5000-10,9.88455e-05,1%,7.30225e-05,0%,-26.12%,p=0.002 n=6,0.0001058375,2%,+7.07%,p=0.002 n=6
Subset/size=500_subset=5000-10,9.942350000000001e-05,1%,0.000359315,0%,+261.40%,p=0.002 n=6,0.00010965100000000001,2%,+10.29%,p=0.002 n=6
Subset/size=1000_subset=5000-10,0.0001009355,1%,0.0007283445000000001,0%,+621.59%,p=0.002 n=6,0.00011599400000000001,3%,+14.92%,p=0.002 n=6
Subset/size=5000_subset=5000-10,0.0001143975,0%,0.0022264620000000002,0%,+1846.25%,p=0.002 n=6,0.00025061850000000004,6%,+119.08%,p=0.002 n=6
Subset/size=10000_subset=5000-10,0.0001318515,0%,0.0045130415,0%,+3322.82%,p=0.002 n=6,0.0003775775,5%,+186.37%,p=0.002 n=6
Subset/size=10_subset=10000-10,0.0002160445,0%,1.7009000000000003e-05,0%,-92.13%,p=0.002 n=6,0.000275512,28%,+27.53%,p=0.002 n=6
Subset/size=50_subset=10000-10,0.00021529,2%,8.127500000000001e-05,0%,-62.25%,p=0.002 n=6,0.0002773405,24%,+28.82%,p=0.002 n=6
Subset/size=100_subset=10000-10,0.00021718100000000002,1%,0.00013891200000000001,0%,-36.04%,p=0.002 n=6,0.000289703,21%,+33.39%,p=0.002 n=6
Subset/size=500_subset=10000-10,0.000217047,0%,0.000732515,1%,+237.49%,p=0.002 n=6,0.00028551400000000006,19%,+31.54%,p=0.002 n=6
Subset/size=1000_subset=10000-10,0.00022005100000000002,0%,0.0014365985,0%,+552.85%,p=0.002 n=6,0.00030976,18%,+40.77%,p=0.002 n=6
Subset/size=5000_subset=10000-10,0.00023432150000000002,2%,0.0061866625000000005,0%,+2540.25%,p=0.002 n=6,0.0005120435,7%,+118.52%,p=0.002 n=6
Subset/size=10000_subset=10000-10,0.0002525845,1%,0.008662064,0%,+3329.37%,p=0.002 n=6,0.0008009265,6%,+217.09%,p=0.002 n=6
geomean,1.52024793587581e-05,,1.951434467894066e-05,,+28.36%,,1.8812597234685642e-05,,+23.75%,

,BenchmarkSubset-map.txt,,BenchmarkSubset-slice.txt,,,,BenchmarkSubset-slice_sort_binsearch.txt,,,
,B/op,CI,B/op,CI,vs base,P,B/op,CI,vs base,P
Subset/size=10_subset=10-10,656,0%,0,0%,-100.00%,p=0.002 n=6,160,0%,-75.61%,p=0.002 n=6
Subset/size=50_subset=10-10,656,0%,0,0%,-100.00%,p=0.002 n=6,160,0%,-75.61%,p=0.002 n=6
Subset/size=100_subset=10-10,656,0%,0,0%,-100.00%,p=0.002 n=6,160,0%,-75.61%,p=0.002 n=6
Subset/size=500_subset=10-10,656,0%,0,0%,-100.00%,p=0.002 n=6,160,0%,-75.61%,p=0.002 n=6
Subset/size=1000_subset=10-10,656,0%,0,0%,-100.00%,p=0.002 n=6,160,0%,-75.61%,p=0.002 n=6
Subset/size=5000_subset=10-10,656,0%,0,0%,-100.00%,p=0.002 n=6,160,0%,-75.61%,p=0.002 n=6
Subset/size=10000_subset=10-10,656,0%,0,0%,-100.00%,p=0.002 n=6,160,0%,-75.61%,p=0.002 n=6
Subset/size=10_subset=50-10,2384,0%,0,0%,-100.00%,p=0.002 n=6,832,0%,-65.10%,p=0.002 n=6
Subset/size=50_subset=50-10,2384,0%,0,0%,-100.00%,p=0.002 n=6,832,0%,-65.10%,p=0.002 n=6
Subset/size=100_subset=50-10,2384,0%,0,0%,-100.00%,p=0.002 n=6,832,0%,-65.10%,p=0.002 n=6
Subset/size=500_subset=50-10,2384,0%,0,0%,-100.00%,p=0.002 n=6,832,0%,-65.10%,p=0.002 n=6
Subset/size=1000_subset=50-10,2384,0%,0,0%,-100.00%,p=0.002 n=6,832,0%,-65.10%,p=0.002 n=6
Subset/size=5000_subset=50-10,2384,0%,0,0%,-100.00%,p=0.002 n=6,832,0%,-65.10%,p=0.002 n=6
Subset/size=10000_subset=50-10,2384,0%,0,0%,-100.00%,p=0.002 n=6,832,0%,-65.10%,p=0.002 n=6
Subset/size=10_subset=100-10,4688,0%,0,0%,-100.00%,p=0.002 n=6,1792,0%,-61.77%,p=0.002 n=6
Subset/size=50_subset=100-10,4688,0%,0,0%,-100.00%,p=0.002 n=6,1792,0%,-61.77%,p=0.002 n=6
Subset/size=100_subset=100-10,4688,0%,0,0%,-100.00%,p=0.002 n=6,1792,0%,-61.77%,p=0.002 n=6
Subset/size=500_subset=100-10,4688,0%,0,0%,-100.00%,p=0.002 n=6,1792,0%,-61.77%,p=0.002 n=6
Subset/size=1000_subset=100-10,4688,0%,0,0%,-100.00%,p=0.002 n=6,1792,0%,-61.77%,p=0.002 n=6
Subset/size=5000_subset=100-10,4688,0%,0,0%,-100.00%,p=0.002 n=6,1792,0%,-61.77%,p=0.002 n=6
Subset/size=10000_subset=100-10,4688,0%,0,0%,-100.00%,p=0.002 n=6,1792,0%,-61.77%,p=0.002 n=6
Subset/size=10_subset=500-10,36944,0%,0,0%,-100.00%,p=0.002 n=6,8192,0%,-77.83%,p=0.002 n=6
Subset/size=50_subset=500-10,36944,0%,0,0%,-100.00%,p=0.002 n=6,8192,0%,-77.83%,p=0.002 n=6
Subset/size=100_subset=500-10,36944,0%,0,0%,-100.00%,p=0.002 n=6,8192,0%,-77.83%,p=0.002 n=6
