goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAppend/size=500000_subset=10-10     	     670	    178828 ns/op	 4005891 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	     326	    362733 ns/op	 8003592 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	     337	    354375 ns/op	 8003605 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	     336	    354039 ns/op	 8003589 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	     339	    351428 ns/op	 8003589 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	     336	    354502 ns/op	 8003589 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	     337	    352630 ns/op	 8003588 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 2418523	        49.90 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 2356741	        50.89 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 2399757	        50.27 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 2344485	        50.70 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 2399031	        50.09 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 2387841	        50.16 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=50-10         	 1391508	        86.36 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=50-10         	 1391362	        86.40 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=50-10         	 1379041	        86.78 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=50-10         	 1382618	        87.06 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=50-10         	 1382340	        86.61 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=50-10         	 1388319	        86.28 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=50-10        	  988365	       129.2 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=50-10        	  932551	       129.4 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=50-10        	  984850	       129.5 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=50-10        	 1000000	       129.1 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=50-10        	 1000000	       129.3 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=50-10        	 1000000	       129.6 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  319609	       393.1 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  304220	       396.5 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  298354	       399.8 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  308658	       395.4 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  295778	       401.0 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  310893	       396.8 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	  171981	       695.0 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	  170607	       699.5 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	  168960	       703.5 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	  173202	       703.3 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	  172519	       702.3 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	  172288	       697.9 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   40069	      3011 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   40006	      3006 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   40080	      3029 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   40149	      3009 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   39721	      3044 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   39424	      3047 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	   20517	      5868 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	   20667	      5812 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	   20593	      5851 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	   20706	      5819 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	   20532	      5842 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	   20636	      5841 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    4162	     26096 ns/op	  401410 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    4702	     26180 ns/op	  401409 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    4842	     26047 ns/op	  401409 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    4618	     26223 ns/op	  401410 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    4743	     26118 ns/op	  401409 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    4654	     26027 ns/op	  401409 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	    2068	     60801 ns/op	  802828 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	    1933	     60768 ns/op	  802829 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	    2137	     60262 ns/op	  802827 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	    2034	     60187 ns/op	  802828 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	    2089	     59469 ns/op	  802828 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	    2097	     59965 ns/op	  802828 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     667	    178682 ns/op	 4005890 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     684	    180011 ns/op	 4005890 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     688	    176917 ns/op	 4005891 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     682	    176338 ns/op	 4005890 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     672	    176492 ns/op	 4005890 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     640	    181689 ns/op	 4005889 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	     324	    363736 ns/op	 8003589 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	     337	    354463 ns/op	 8003590 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	     338	    355189 ns/op	 8003590 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	     337	    354391 ns/op	 8003590 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	     339	    350908 ns/op	 8003589 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	     340	    351993 ns/op	 8003588 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	 1401364	        85.77 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	 1406732	        85.88 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	 1385931	        87.01 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	 1359674	        88.32 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	 1386007	        86.88 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	 1370641	        87.40 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	  993273	       127.6 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	 1000000	       128.5 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	 1000000	       128.4 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	  960063	       128.7 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	  963628	       128.1 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	 1000000	       127.8 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  842622	       144.4 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  872066	       145.3 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  835436	       145.4 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  907830	       144.3 ns/op	    1792 B/op	       1 allocs/op
