goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkBuildSlice/size=32_length=10-10        	 2319038	        51.69 ns/op	     344 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10-10        	 2336094	        51.92 ns/op	     344 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10-10        	 2312745	        51.68 ns/op	     344 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  588163	       205.3 ns/op	    1816 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  607633	       204.3 ns/op	    1816 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  596779	       205.0 ns/op	    1816 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  561807	       204.9 ns/op	    1816 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  579523	       204.1 ns/op	    1816 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  603229	       204.7 ns/op	    1816 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100-10       	  316963	       369.0 ns/op	    3224 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100-10       	  333936	       372.5 ns/op	    3224 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100-10       	  321306	       368.9 ns/op	    3224 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100-10       	  341102	       375.4 ns/op	    3224 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100-10       	  306069	       383.1 ns/op	    3224 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100-10       	  277755	       398.7 ns/op	    3224 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=500-10       	   69765	      1747 ns/op	   16408 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=500-10       	   68026	      1991 ns/op	   16408 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=500-10       	   68434	      1740 ns/op	   16408 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=500-10       	   68618	      1790 ns/op	   16408 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=500-10       	   68850	      2078 ns/op	   16408 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=500-10       	   55015	      1883 ns/op	   16408 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=1000-10      	   35194	      3451 ns/op	   32792 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=1000-10      	   33379	      3493 ns/op	   32792 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=1000-10      	   34596	      3358 ns/op	   32792 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=1000-10      	   35834	      3355 ns/op	   32792 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=1000-10      	   36586	      3315 ns/op	   32792 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=1000-10      	   36681	      3279 ns/op	   32792 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=5000-10      	    7393	     15603 ns/op	  163864 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=5000-10      	    8331	     15157 ns/op	  163864 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=5000-10      	    7996	     15060 ns/op	  163864 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=5000-10      	    8409	     15347 ns/op	  163864 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=5000-10      	    7567	     15305 ns/op	  163864 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=5000-10      	    8647	     15227 ns/op	  163864 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10000-10     	    3766	     31775 ns/op	  327705 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10000-10     	    3931	     31909 ns/op	  327705 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10000-10     	    3913	     31762 ns/op	  327705 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10000-10     	    4035	     31613 ns/op	  327705 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10000-10     	    3799	     31474 ns/op	  327705 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10000-10     	    3895	     31499 ns/op	  327705 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50000-10     	     840	    145634 ns/op	 1605658 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50000-10     	     861	    145424 ns/op	 1605658 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50000-10     	     831	    149079 ns/op	 1605659 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50000-10     	     832	    147147 ns/op	 1605660 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50000-10     	     818	    149979 ns/op	 1605658 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50000-10     	     842	    145808 ns/op	 1605658 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100000-10    	     472	    246592 ns/op	 3203098 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100000-10    	     502	    238235 ns/op	 3203098 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100000-10    	     504	    239543 ns/op	 3203098 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100000-10    	     493	    242110 ns/op	 3203098 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100000-10    	     493	    242471 ns/op	 3203098 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100000-10    	     482	    243278 ns/op	 3203099 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10-10       	  523465	       224.7 ns/op	    1304 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10-10       	  545474	       227.1 ns/op	    1304 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10-10       	  503038	       228.7 ns/op	    1304 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10-10       	  514368	       236.7 ns/op	    1304 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10-10       	  499531	       257.4 ns/op	    1304 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10-10       	  434985	       275.0 ns/op	    1304 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50-10       	  121544	       970.0 ns/op	    6552 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50-10       	  123279	       973.4 ns/op	    6552 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50-10       	  124384	       955.6 ns/op	    6552 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50-10       	  128948	       960.0 ns/op	    6552 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50-10       	  125328	       973.0 ns/op	    6552 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50-10       	  124086	       960.0 ns/op	    6552 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100-10      	   65698	      1863 ns/op	   13592 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100-10      	   65270	      1875 ns/op	   13592 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100-10      	   66103	      1825 ns/op	   13592 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100-10      	   66253	      1877 ns/op	   13592 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100-10      	   64059	      1878 ns/op	   13592 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100-10      	   64623	      1867 ns/op	   13592 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=500-10      	   13773	      8772 ns/op	   65560 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=500-10      	   13657	      8791 ns/op	   65560 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=500-10      	   13903	      8656 ns/op	   65560 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=500-10      	   13876	      8666 ns/op	   65560 B/op	       2 allocs/op
