goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkConcat/size=50_iterations=500-10        	    6405	     19385 ns/op	  210274 B/op	      17 allocs/op
BenchmarkConcat/size=50_iterations=500-10        	    7027	     19473 ns/op	  210273 B/op	      17 allocs/op
BenchmarkConcat/size=50_iterations=1000-10       	    4191	     33559 ns/op	  382307 B/op	      19 allocs/op
BenchmarkConcat/size=50_iterations=1000-10       	    2986	     35216 ns/op	  382306 B/op	      19 allocs/op
BenchmarkConcat/size=50_iterations=1000-10       	    3327	     33794 ns/op	  382308 B/op	      19 allocs/op
BenchmarkConcat/size=50_iterations=1000-10       	    3525	     33757 ns/op	  382308 B/op	      19 allocs/op
BenchmarkConcat/size=50_iterations=1000-10       	    3421	     34710 ns/op	  382307 B/op	      19 allocs/op
BenchmarkConcat/size=50_iterations=1000-10       	    4011	     34567 ns/op	  382308 B/op	      19 allocs/op
BenchmarkConcat/size=50_iterations=5000-10       	     673	    180236 ns/op	 1979773 B/op	      25 allocs/op
BenchmarkConcat/size=50_iterations=5000-10       	     638	    175873 ns/op	 1979769 B/op	      25 allocs/op
BenchmarkConcat/size=50_iterations=5000-10       	     678	    177442 ns/op	 1979766 B/op	      25 allocs/op
BenchmarkConcat/size=50_iterations=5000-10       	     714	    172309 ns/op	 1979769 B/op	      25 allocs/op
BenchmarkConcat/size=50_iterations=5000-10       	     698	    177139 ns/op	 1979771 B/op	      25 allocs/op
BenchmarkConcat/size=50_iterations=5000-10       	     692	    178108 ns/op	 1979768 B/op	      25 allocs/op
BenchmarkConcat/size=100_iterations=10-10        	  155256	       818.8 ns/op	    6912 B/op	       6 allocs/op
BenchmarkConcat/size=100_iterations=10-10        	  128281	       842.8 ns/op	    6912 B/op	       6 allocs/op
BenchmarkConcat/size=100_iterations=10-10        	  185158	       832.3 ns/op	    6912 B/op	       6 allocs/op
BenchmarkConcat/size=100_iterations=10-10        	  146122	       822.6 ns/op	    6912 B/op	       6 allocs/op
BenchmarkConcat/size=100_iterations=10-10        	  122401	       840.4 ns/op	    6912 B/op	       6 allocs/op
BenchmarkConcat/size=100_iterations=10-10        	  143740	       773.9 ns/op	    6912 B/op	       6 allocs/op
BenchmarkConcat/size=100_iterations=50-10        	   27351	      4364 ns/op	   45168 B/op	      11 allocs/op
BenchmarkConcat/size=100_iterations=50-10        	   26809	      4426 ns/op	   45168 B/op	      11 allocs/op
BenchmarkConcat/size=100_iterations=50-10        	   28428	      4346 ns/op	   45168 B/op	      11 allocs/op
BenchmarkConcat/size=100_iterations=50-10        	   27727	      4345 ns/op	   45168 B/op	      11 allocs/op
BenchmarkConcat/size=100_iterations=50-10        	   25507	      4464 ns/op	   45168 B/op	      11 allocs/op
BenchmarkConcat/size=100_iterations=50-10        	   26812	      4404 ns/op	   45168 B/op	      11 allocs/op
BenchmarkConcat/size=100_iterations=100-10       	   14563	      8054 ns/op	   83200 B/op	      13 allocs/op
BenchmarkConcat/size=100_iterations=100-10       	   15102	      7828 ns/op	   83200 B/op	      13 allocs/op
BenchmarkConcat/size=100_iterations=100-10       	   15013	      8009 ns/op	   83200 B/op	      13 allocs/op
BenchmarkConcat/size=100_iterations=100-10       	   15561	      7850 ns/op	   83200 B/op	      13 allocs/op
BenchmarkConcat/size=100_iterations=100-10       	   15720	      7666 ns/op	   83200 B/op	      13 allocs/op
BenchmarkConcat/size=100_iterations=100-10       	   13917	      8516 ns/op	   83200 B/op	      13 allocs/op
BenchmarkConcat/size=100_iterations=500-10       	    3032	     33157 ns/op	  382212 B/op	      18 allocs/op
BenchmarkConcat/size=100_iterations=500-10       	    3153	     33456 ns/op	  382212 B/op	      18 allocs/op
BenchmarkConcat/size=100_iterations=500-10       	    4095	     33377 ns/op	  382211 B/op	      18 allocs/op
BenchmarkConcat/size=100_iterations=500-10       	    4423	     33624 ns/op	  382211 B/op	      18 allocs/op
BenchmarkConcat/size=100_iterations=500-10       	    4455	     32652 ns/op	  382211 B/op	      18 allocs/op
BenchmarkConcat/size=100_iterations=500-10       	    3334	     32186 ns/op	  382211 B/op	      18 allocs/op
BenchmarkConcat/size=100_iterations=1000-10      	    1467	     68261 ns/op	  906507 B/op	      21 allocs/op
BenchmarkConcat/size=100_iterations=1000-10      	    1532	     69593 ns/op	  906505 B/op	      21 allocs/op
BenchmarkConcat/size=100_iterations=1000-10      	    1839	     68031 ns/op	  906504 B/op	      21 allocs/op
BenchmarkConcat/size=100_iterations=1000-10      	    1502	     70352 ns/op	  906506 B/op	      21 allocs/op
BenchmarkConcat/size=100_iterations=1000-10      	    1740	     70593 ns/op	  906504 B/op	      21 allocs/op
BenchmarkConcat/size=100_iterations=1000-10      	    2049	     68904 ns/op	  906504 B/op	      21 allocs/op
BenchmarkConcat/size=100_iterations=5000-10      	     277	    410340 ns/op	 5240115 B/op	      28 allocs/op
BenchmarkConcat/size=100_iterations=5000-10      	     298	    400297 ns/op	 5240115 B/op	      28 allocs/op
BenchmarkConcat/size=100_iterations=5000-10      	     274	    422257 ns/op	 5240110 B/op	      28 allocs/op
BenchmarkConcat/size=100_iterations=5000-10      	     289	    407358 ns/op	 5240121 B/op	      28 allocs/op
BenchmarkConcat/size=100_iterations=5000-10      	     282	    409435 ns/op	 5240117 B/op	      28 allocs/op
BenchmarkConcat/size=100_iterations=5000-10      	     290	    412233 ns/op	 5240121 B/op	      28 allocs/op
BenchmarkConcat/size=500_iterations=10-10        	   24151	      5122 ns/op	   55936 B/op	       7 allocs/op
BenchmarkConcat/size=500_iterations=10-10        	   22770	      5192 ns/op	   55936 B/op	       7 allocs/op
BenchmarkConcat/size=500_iterations=10-10        	   24085	      5111 ns/op	   55936 B/op	       7 allocs/op
BenchmarkConcat/size=500_iterations=10-10        	   22497	      5439 ns/op	   55936 B/op	       7 allocs/op
BenchmarkConcat/size=500_iterations=10-10        	   22639	      5311 ns/op	   55936 B/op	       7 allocs/op
BenchmarkConcat/size=500_iterations=10-10        	   23172	      5342 ns/op	   55936 B/op	       7 allocs/op
BenchmarkConcat/size=500_iterations=50-10        	    5002	     24026 ns/op	  278402 B/op	      12 allocs/op
BenchmarkConcat/size=500_iterations=50-10        	    6447	     23745 ns/op	  278403 B/op	      12 allocs/op
BenchmarkConcat/size=500_iterations=50-10        	    5764	     25574 ns/op	  278403 B/op	      12 allocs/op
BenchmarkConcat/size=500_iterations=50-10        	    5636	     23076 ns/op	  278403 B/op	      12 allocs/op
BenchmarkConcat/size=500_iterations=50-10        	    5067	     28505 ns/op	  278403 B/op	      12 allocs/op
BenchmarkConcat/size=500_iterations=50-10        	    4994	     23716 ns/op	  278403 B/op	      12 allocs/op
BenchmarkConcat/size=500_iterations=100-10       	    2060	     52310 ns/op	  679817 B/op	      15 allocs/op
BenchmarkConcat/size=500_iterations=100-10       	    2769	     49053 ns/op	  679817 B/op	      15 allocs/op
BenchmarkConcat/size=500_iterations=100-10       	    2371	     50840 ns/op	  679817 B/op	      15 allocs/op
BenchmarkConcat/size=500_iterations=100-10       	    1917	     53958 ns/op	  679815 B/op	      15 allocs/op
