goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkBuildSlice/size=32_length=10-10        	 2202315	        55.39 ns/op	     344 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10-10        	 2105706	        56.20 ns/op	     344 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10-10        	 2171563	        55.10 ns/op	     344 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  566660	       218.9 ns/op	    1816 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  576841	       219.6 ns/op	    1816 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  564606	       251.9 ns/op	    1816 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  529654	       252.9 ns/op	    1816 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  477698	       279.6 ns/op	    1816 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  504007	       240.8 ns/op	    1816 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100-10       	  280299	       448.9 ns/op	    3224 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100-10       	  214288	       469.9 ns/op	    3224 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100-10       	  282626	       451.8 ns/op	    3224 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100-10       	  300284	       436.6 ns/op	    3224 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100-10       	  258834	       446.9 ns/op	    3224 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100-10       	  278128	       423.7 ns/op	    3224 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=500-10       	   64526	      2121 ns/op	   16408 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=500-10       	   49279	      2667 ns/op	   16408 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=500-10       	   61518	      1933 ns/op	   16408 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=500-10       	   63644	      2097 ns/op	   16408 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=500-10       	   63061	      1978 ns/op	   16408 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=500-10       	   54364	      2094 ns/op	   16408 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=1000-10      	   32091	      3576 ns/op	   32792 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=1000-10      	   35002	      3485 ns/op	   32792 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=1000-10      	   34554	      3460 ns/op	   32792 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=1000-10      	   36462	      3337 ns/op	   32792 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=1000-10      	   34984	      3453 ns/op	   32792 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=1000-10      	   35559	      3318 ns/op	   32792 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=5000-10      	    8010	     15906 ns/op	  163864 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=5000-10      	    7522	     16477 ns/op	  163864 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=5000-10      	    7753	     16598 ns/op	  163864 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=5000-10      	    7692	     16186 ns/op	  163864 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=5000-10      	    7977	     16212 ns/op	  163864 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=5000-10      	    7480	     16282 ns/op	  163864 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10000-10     	    3783	     32975 ns/op	  327705 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10000-10     	    3702	     33690 ns/op	  327705 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10000-10     	    3519	     33470 ns/op	  327705 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10000-10     	    3660	     33316 ns/op	  327705 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10000-10     	    3690	     33381 ns/op	  327705 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10000-10     	    3586	     34204 ns/op	  327705 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50000-10     	     783	    159794 ns/op	 1605658 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50000-10     	     739	    156281 ns/op	 1605658 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50000-10     	     768	    155033 ns/op	 1605658 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50000-10     	     768	    168381 ns/op	 1605659 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50000-10     	     788	    152102 ns/op	 1605658 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50000-10     	     783	    152641 ns/op	 1605658 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100000-10    	     446	    264948 ns/op	 3203098 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100000-10    	     460	    267897 ns/op	 3203098 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100000-10    	     453	    260770 ns/op	 3203098 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100000-10    	     457	    261584 ns/op	 3203098 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100000-10    	     468	    259902 ns/op	 3203099 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=100000-10    	     463	    258056 ns/op	 3203097 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10-10       	  464912	       239.1 ns/op	    1304 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10-10       	  483415	       239.7 ns/op	    1304 B/op	       2 allocs/op
