goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAppend/size=500000_subset=10-10     	     100	   1031686 ns/op	21076003 B/op	      30 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	      61	   1741135 ns/op	41670691 B/op	      33 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	      67	   1724458 ns/op	41670692 B/op	      33 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	      70	   1697320 ns/op	41670712 B/op	      33 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	      63	   1712085 ns/op	41670700 B/op	      33 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	      62	   1711376 ns/op	41670698 B/op	      33 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	      62	   1731212 ns/op	41670696 B/op	      33 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 1354792	        88.08 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 1357857	        88.65 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 1362931	        88.09 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 1362267	        91.63 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 1362964	        87.62 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 1359594	        88.08 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=50-10         	 1396557	        86.24 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=50-10         	 1392073	        86.74 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=50-10         	 1388942	        85.67 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=50-10         	 1425170	        84.66 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=50-10         	 1395116	        86.21 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=50-10         	 1397116	        89.54 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=50-10        	  504607	       214.2 ns/op	    2688 B/op	       2 allocs/op
BenchmarkAppend/size=100_subset=50-10        	  562983	       214.1 ns/op	    2688 B/op	       2 allocs/op
BenchmarkAppend/size=100_subset=50-10        	  586449	       213.3 ns/op	    2688 B/op	       2 allocs/op
BenchmarkAppend/size=100_subset=50-10        	  606098	       212.4 ns/op	    2688 B/op	       2 allocs/op
BenchmarkAppend/size=100_subset=50-10        	  570703	       213.2 ns/op	    2688 B/op	       2 allocs/op
BenchmarkAppend/size=100_subset=50-10        	  597496	       213.5 ns/op	    2688 B/op	       2 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  120501	      1011 ns/op	   13568 B/op	       4 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  118660	      1011 ns/op	   13568 B/op	       4 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  119076	      1006 ns/op	   13568 B/op	       4 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  118672	      1012 ns/op	   13568 B/op	       4 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  118767	      1006 ns/op	   13568 B/op	       4 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  120133	      1002 ns/op	   13568 B/op	       4 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	   69105	      1736 ns/op	   23808 B/op	       5 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	   68386	      1743 ns/op	   23808 B/op	       5 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	   68486	      1757 ns/op	   23808 B/op	       5 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	   69547	      1743 ns/op	   23808 B/op	       5 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	   68557	      1855 ns/op	   23808 B/op	       5 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	   70308	      1731 ns/op	   23808 B/op	       5 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   14024	      8544 ns/op	  126848 B/op	       9 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   13966	      8585 ns/op	  126848 B/op	       9 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   14017	      8560 ns/op	  126848 B/op	       9 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   13882	      8640 ns/op	  126848 B/op	       9 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   14042	      8537 ns/op	  126848 B/op	       9 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   14001	      8566 ns/op	  126848 B/op	       9 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	    5356	     21734 ns/op	  356226 B/op	      12 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	    5490	     21902 ns/op	  356225 B/op	      12 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	    6081	     21645 ns/op	  356225 B/op	      12 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	    5674	     21699 ns/op	  356226 B/op	      12 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	    5714	     21791 ns/op	  356225 B/op	      12 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	    5730	     21786 ns/op	  356225 B/op	      12 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    1032	    116684 ns/op	 1953682 B/op	      18 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    1045	    116721 ns/op	 1953682 B/op	      18 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    1045	    123355 ns/op	 1953686 B/op	      18 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    1064	    116610 ns/op	 1953681 B/op	      18 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    1022	    116560 ns/op	 1953679 B/op	      18 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    1051	    116067 ns/op	 1953683 B/op	      18 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	     460	    263077 ns/op	 4100014 B/op	      21 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	     452	    265730 ns/op	 4100018 B/op	      21 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	     450	    297585 ns/op	 4100022 B/op	      21 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	     462	    261889 ns/op	 4100010 B/op	      21 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	     446	    273617 ns/op	 4100011 B/op	      21 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	     433	    267564 ns/op	 4100003 B/op	      21 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     133	    911009 ns/op	21082049 B/op	      28 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     121	    979396 ns/op	21082050 B/op	      28 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     121	    981979 ns/op	21082047 B/op	      28 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     122	    977819 ns/op	21082040 B/op	      28 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     124	    960522 ns/op	21082048 B/op	      28 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     126	    966604 ns/op	21082051 B/op	      28 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	      74	   1600009 ns/op	41676740 B/op	      31 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	      70	   1638194 ns/op	41676737 B/op	      31 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	      69	   1708391 ns/op	41676751 B/op	      31 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	      66	   1627499 ns/op	41676734 B/op	      31 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	      64	   1627950 ns/op	41676749 B/op	      31 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	      75	   1587754 ns/op	41676728 B/op	      31 allocs/op
BenchmarkAppend/size=10_subset=100-10        	  896619	       134.8 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	 1000000	       136.2 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	  934670	       137.0 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	  865488	       137.1 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	  857883	       137.1 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	  941576	       136.8 ns/op	    1792 B/op	       1 allocs/op
