goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkSubset/size=500_subset=50-10        	   40459	      2938 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=50-10        	   41510	      2882 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=50-10        	   41668	      2887 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=50-10        	   41581	      2876 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=50-10        	   41998	      2867 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=50-10        	   41694	      2861 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=50-10       	   22610	      5294 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=50-10       	   22850	      5225 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=50-10       	   22912	      5210 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=50-10       	   22917	      5259 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=50-10       	   22875	      5246 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=50-10       	   23122	      5224 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=50-10       	    4359	     26966 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=50-10       	    4510	     26685 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=50-10       	    4543	     26445 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=50-10       	    4550	     26240 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=50-10       	    4593	     26372 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=50-10       	    4320	     26589 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=50-10      	    2252	     52459 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=50-10      	    2308	     52059 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=50-10      	    2295	     51721 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=50-10      	    2312	     51822 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=50-10      	    2322	     51123 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=50-10      	    2403	     50919 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=100-10        	  108152	      1089 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=100-10        	  112080	      1064 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=100-10        	  115699	      1063 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=100-10        	  115257	      1067 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=100-10        	  109593	      1088 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=100-10        	  113168	      1074 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=100-10        	   82674	      1442 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=100-10        	   85018	      1415 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=100-10        	   85318	      1417 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=100-10        	   85206	      1413 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=100-10        	   84984	      1415 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=100-10        	   85864	      1413 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=100-10       	   70222	      1705 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=100-10       	   70287	      1693 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=100-10       	   70988	      1688 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=100-10       	   72226	      1679 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=100-10       	   72472	      1677 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=100-10       	   71846	      1673 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=100-10       	   28374	      4238 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=100-10       	   28432	      4207 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=100-10       	   28738	      4192 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=100-10       	   28688	      4199 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=100-10       	   28664	      4188 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=100-10       	   28632	      4195 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=100-10      	   15890	      7571 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=100-10      	   16302	      7373 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=100-10      	   16426	      7314 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=100-10      	   16482	      7295 ns/op	    1792 B/op	       2 allocs/op
