goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkRangeCopy/size=32_length=100000-10     	    1130	    105756 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100000-10     	    1131	    105839 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100000-10     	    1136	    105124 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10-10         	10139737	        11.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10-10         	10337364	        11.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10-10         	10363588	        11.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10-10         	10225093	        11.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10-10         	10212295	        11.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10-10         	10199996	        12.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100-10        	 1000000	       105.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100-10        	 1000000	       105.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100-10        	 1000000	       107.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100-10        	 1000000	       104.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100-10        	 1000000	       105.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100-10        	 1000000	       104.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=1000-10       	  115026	      1043 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=1000-10       	  117026	      1049 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=1000-10       	  114740	      1049 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=1000-10       	  114406	      1040 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=1000-10       	  115629	      1044 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=1000-10       	  115719	      1041 ns/op	       0 B/op	       0 allocs/op
