goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,assets/BenchmarkNeedleInAHaystack-map.txt,,assets/BenchmarkNeedleInAHaystack-slice.txt,,,
,sec/op,CI,sec/op,CI,vs base,P
NeedleInAHaystack/size=500000_iterations=500-10,0.019407639,2%,0.050284333,6%,+159.10%,p=0.002 n=6
NeedleInAHaystack/size=500000_iterations=1000-10,0.018750777500000003,3%,0.136381937,1%,+627.34%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=10-10,0.051787024,3%,0.00234734,4%,-95.47%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=50-10,0.05092105200000001,8%,0.010772975,2%,-78.84%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=100-10,0.051144958000000004,2%,0.0273000625,1%,-46.62%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=500-10,0.050510979500000004,2%,0.1374731455,3%,+172.16%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=1000-10,0.0506257185,1%,0.27769097900000006,7%,+448.52%,p=0.002 n=6
geomean,8.170189184308216e-05,,0.00010396177936856119,,+27.25%,

,assets/BenchmarkNeedleInAHaystack-map.txt,,assets/BenchmarkNeedleInAHaystack-slice.txt,,,
,B/op,CI,B/op,CI,vs base,P
NeedleInAHaystack/size=10_iterations=10-10,328,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10_iterations=50-10,328,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10_iterations=100-10,328,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10_iterations=500-10,328,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10_iterations=1000-10,328,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=10-10,1192,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=50-10,1192,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=100-10,1192,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=500-10,1192,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=1000-10,1192,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=10-10,2344,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=50-10,2344,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=100-10,2344,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=500-10,2344,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=1000-10,2344,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=10-10,18472,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=50-10,18472,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=100-10,18472,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=500-10,18472,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=1000-10,18472,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000_iterations=10-10,36944,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000_iterations=50-10,36944,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000_iterations=100-10,36944,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000_iterations=500-10,36944,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000_iterations=1000-10,36944,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=5000_iterations=10-10,147776,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=5000_iterations=50-10,147776,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=5000_iterations=100-10,147776,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=5000_iterations=500-10,147776,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=5000_iterations=1000-10,147776,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10000_iterations=10-10,295552.5,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10000_iterations=50-10,295553,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10000_iterations=100-10,295552,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10000_iterations=500-10,295552,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10000_iterations=1000-10,295552.5,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50000_iterations=10-10,1.182214e+06,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50000_iterations=50-10,1.182213e+06,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50000_iterations=100-10,1.1822135e+06,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50000_iterations=500-10,1.1822145e+06,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50000_iterations=1000-10,1.1822125e+06,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100000_iterations=10-10,2.3645555e+06,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100000_iterations=50-10,2.364557e+06,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100000_iterations=100-10,2.364559e+06,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100000_iterations=500-10,2.36456e+06,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100000_iterations=1000-10,2.3645595e+06,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500000_iterations=10-10,1.8916625e+07,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500000_iterations=50-10,1.8916626e+07,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500000_iterations=100-10,1.8916626e+07,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500000_iterations=500-10,1.8916626e+07,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500000_iterations=1000-10,1.8916608e+07,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=10-10,3.7832704e+07,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=50-10,3.7832704e+07,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=100-10,3.7832704e+07,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=500-10,3.7832704e+07,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=1000-10,3.7832704e+07,0%,0,0%,-100.00%,p=0.002 n=6
geomean,116694.66052376546,,,,?,

,assets/BenchmarkNeedleInAHaystack-map.txt,,assets/BenchmarkNeedleInAHaystack-slice.txt,,,
,allocs/op,CI,allocs/op,CI,vs base,P
NeedleInAHaystack/size=10_iterations=10-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10_iterations=50-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10_iterations=100-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10_iterations=500-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10_iterations=1000-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=10-10,3,0%,0,0%,-100.00%,p=0.002 n=6
