goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkRangeCopy/size=32_length=100000-10     	     603	    199714 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100000-10     	     590	    407843 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10-10         	 2619176	        41.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10-10         	 4129807	        28.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10-10         	 4313101	        27.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10-10         	 4232797	        28.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10-10         	 4217721	        27.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10-10         	 4380214	        27.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100-10        	  442558	       262.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100-10        	  436886	       268.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100-10        	  462702	       259.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100-10        	  476623	       256.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100-10        	  475482	       254.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100-10        	  471766	       253.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=1000-10       	   47824	      2751 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=1000-10       	   47738	      2541 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=1000-10       	   47973	      2526 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=1000-10       	   47797	      2513 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=1000-10       	   36087	      3201 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=1000-10       	   46045	      2606 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10000-10      	    4594	     25869 ns/op	       0 B/op	       0 allocs/op
