goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
                                    │ assets/BenchmarkConcat-builder.txt │ assets/BenchmarkConcat-builder_pool.txt │      assets/BenchmarkConcat-join.txt      │      assets/BenchmarkConcat-plus.txt      │     assets/BenchmarkConcat-sprintf.txt     │
                                    │               sec/op               │      sec/op       vs base               │     sec/op       vs base                  │     sec/op       vs base                  │     sec/op       vs base                   │
Concat/size=1000_iterations=5000-10                         78.16Mi ± 0%      78.16Mi ± 0%  +0.00% (p=0.002 n=6)     34692.51Mi ± 0%  +44284.82% (p=0.002 n=6)   69385.01Mi ± 0%   +88669.64% (p=0.002 n=6)   84757.13Mi ± 0%  +108336.38% (p=0.002 n=6)
geomean                                                     233.2Ki           233.3Ki       +0.04%                      6.322Mi        +2675.79%                    12.61Mi         +5436.33%                    9.184Mi         +3932.28%
¹ all samples are equal

                                    │ assets/BenchmarkConcat-builder.txt │ assets/BenchmarkConcat-builder_pool.txt │    assets/BenchmarkConcat-join.txt     │     assets/BenchmarkConcat-plus.txt     │   assets/BenchmarkConcat-sprintf.txt    │
                                    │             allocs/op              │    allocs/op     vs base                │  allocs/op    vs base                  │   allocs/op    vs base                  │   allocs/op    vs base                  │
Concat/size=10_iterations=10-10                               5.000 ± 0%        5.000 ± 0%       ~ (p=1.000 n=6) ¹    10.000 ± 0%    +100.00% (p=0.002 n=6)     19.000 ± 0%    +280.00% (p=0.002 n=6)     29.000 ± 0%    +480.00% (p=0.002 n=6)
Concat/size=10_iterations=50-10                               7.000 ± 0%        7.000 ± 0%       ~ (p=1.000 n=6) ¹    50.000 ± 0%    +614.29% (p=0.002 n=6)     99.000 ± 0%   +1314.29% (p=0.002 n=6)    149.000 ± 0%   +2028.57% (p=0.002 n=6)
Concat/size=10_iterations=100-10                              8.000 ± 0%        8.000 ± 0%       ~ (p=1.000 n=6) ¹   100.000 ± 0%   +1150.00% (p=0.002 n=6)    199.000 ± 0%   +2387.50% (p=0.002 n=6)    299.000 ± 0%   +3637.50% (p=0.002 n=6)
Concat/size=10_iterations=500-10                              13.00 ± 0%        13.00 ± 0%       ~ (p=1.000 n=6) ¹    500.00 ± 0%   +3746.15% (p=0.002 n=6)     999.00 ± 0%   +7584.62% (p=0.002 n=6)    1501.00 ± 0%  +11446.15% (p=0.002 n=6)
Concat/size=10_iterations=1000-10                             16.00 ± 0%        16.00 ± 0%       ~ (p=1.000 n=6) ¹   1000.00 ± 0%   +6150.00% (p=0.002 n=6)    2000.00 ± 0%  +12400.00% (p=0.002 n=6)    3007.00 ± 0%  +18693.75% (p=0.002 n=6)
