goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkStringByteConversion/size=256_iterations=10-10       	  168370	       711.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  170152	       709.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  172150	       714.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  166243	       723.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  169062	       709.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  166347	       710.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   16908	      7071 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   16936	      7078 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   16989	      7044 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   17018	      7048 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   17044	      7031 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   16999	      7068 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1699	     72052 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1653	     72404 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1693	     72376 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1668	     71696 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1680	     70800 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1720	     70551 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  469988	       256.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  444499	       257.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  465100	       255.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  439761	       258.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  460018	       256.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  456505	       256.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   47202	      2552 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   46518	      2560 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   47529	      2554 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   46863	      2580 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   46918	      2555 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   46588	      2569 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4633	     25705 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4627	     25919 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4376	     25969 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4482	     25831 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4549	     25748 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4446	     25827 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     459	    272542 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     452	    265979 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     379	    347465 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     327	    376962 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     350	    288675 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     459	    269177 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  119970	      1037 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  117454	      1146 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  114916	      1195 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  112432	      1095 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  117436	      1305 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  109168	      1232 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   10000	     11465 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   10654	     11400 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   10000	     12091 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	    8922	     12109 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   10000	     13378 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   10000	     11087 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1132	    110322 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1149	    115228 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	     970	    119422 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1150	    105788 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1180	    104297 ns/op	       0 B/op	       0 allocs/op
