goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,assets/BenchmarkConcatLarge-builder.txt,,assets/BenchmarkConcatLarge-builder_pool.txt,,,,assets/BenchmarkConcatLarge-join.txt,,,,assets/BenchmarkConcatLarge-plus.txt,,,,assets/BenchmarkConcatLarge-sprintf.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ConcatLarge/size=500_iterations=5000-10,4.1697199e+07,0%,4.1698611e+07,0%,+0.00%,p=0.000 n=10,1.7536431176e+10,0%,+41956.62%,p=0.000 n=10,3.5072850176e+10,0%,+84013.20%,p=0.000 n=10,3.8818564644e+10,0%,+92996.34%,p=0.000 n=10
ConcatLarge/size=1000_iterations=100-10,1.514375e+06,0%,1.5149615e+06,0%,+0.04%,p=0.000 n=10,1.4998476e+07,0%,+890.41%,p=0.000 n=10,2.9993957e+07,0%,+1880.62%,p=0.000 n=10,3.5565017e+07,0%,+2248.49%,p=0.000 n=10
ConcatLarge/size=1000_iterations=500-10,8.3805725e+06,0%,8.3818875e+06,0%,+0.02%,p=0.000 n=10,3.62462796e+08,0%,+4225.04%,p=0.000 n=10,7.2492338e+08,0%,+8550.05%,p=0.000 n=10,8.8154642e+08,0%,+10418.93%,p=0.000 n=10
ConcatLarge/size=1000_iterations=1000-10,1.6767921e+07,0%,1.6769272e+07,0%,+0.01%,p=0.000 n=10,1.4560234035e+09,0%,+8583.39%,p=0.000 n=10,2.912042854e+09,0%,+17266.75%,p=0.000 n=10,3.554127641e+09,0%,+21095.99%,p=0.000 n=10
ConcatLarge/size=1000_iterations=5000-10,8.1959862e+07,0%,8.1961271e+07,0%,+0.00%,p=0.000 n=10,3.637773448e+10,0%,+44284.82%,p=0.000 n=10,7.2755459672e+10,0%,+88669.62%,p=0.000 n=10,8.8874300476e+10,0%,+108336.37%,p=0.000 n=10
ConcatLarge/size=5000_iterations=100-10,9.005726e+06,0%,9.007012e+06,0%,+0.01%,p=0.000 n=10,9.5759109e+07,0%,+963.31%,p=0.000 n=10,1.91500791e+08,0%,+2026.43%,p=0.000 n=10,3.07488771e+08,0%,+3314.37%,p=0.000 n=10
ConcatLarge/size=5000_iterations=500-10,5.62162465e+07,0%,5.62176755e+07,0%,+0.00%,p=0.000 n=10,2.364133684e+09,0%,+4105.43%,p=0.000 n=10,4.728247365e+09,0%,+8310.82%,p=0.000 n=10,7.66512185e+09,0%,+13535.07%,p=0.000 n=10
ConcatLarge/size=5000_iterations=1000-10,1.10389943e+08,0%,1.10391359e+08,0%,+0.00%,p=0.000 n=10,9.443523584e+09,0%,+8454.70%,p=0.000 n=10,1.8887025744e+10,0%,+17009.37%,p=0.000 n=10,3.0654911156e+10,0%,+27669.66%,p=0.000 n=10
ConcatLarge/size=5000_iterations=5000-10,5.290584785e+08,0%,5.29059931e+08,0%,+0.00%,p=0.000 n=10,2.36005186528e+11,0%,+44508.53%,p=0.000 n=10,4.72010330768e+11,0%,+89117.04%,p=0.000 n=10,7.66834366444e+11,0%,+144843.21%,p=0.000 n=10
geomean,1.614588007380375e+07,,1.6148473064435583e+07,,+0.02%,,1.0737548490324554e+09,,+6550.33%,,2.1474542196840098e+09,,+13200.32%,,2.7534752580248375e+09,,+16953.73%,
