goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAppend/size=500000_subset=10-10     	     591	    203966 ns/op	 4005897 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	     330	    357469 ns/op	 8003595 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	     338	    348213 ns/op	 8003609 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	     346	    344474 ns/op	 8003592 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	     342	    348081 ns/op	 8003593 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	     345	    345254 ns/op	 8003594 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	     349	    345728 ns/op	 8003595 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 2525910	        47.67 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 2494633	        48.24 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 2467582	        48.50 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 2483745	        48.44 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 2470465	        48.32 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 2457196	        48.73 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=50-10         	 1401650	        85.62 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=50-10         	 1419360	        84.74 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=50-10         	 1401404	        85.75 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=50-10         	 1409436	        85.30 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=50-10         	 1414395	        84.90 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=50-10         	 1418359	        84.88 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=50-10        	  966994	       128.1 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=50-10        	 1000000	       128.5 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=50-10        	  860600	       128.5 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=50-10        	 1000000	       127.5 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=50-10        	 1000000	       127.9 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=50-10        	  925597	       127.6 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  331369	       378.0 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  333340	       379.3 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  327242	       379.7 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  318583	       381.6 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  316468	       379.9 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  323307	       378.6 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	  177640	       678.4 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	  174876	       682.4 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	  180576	       681.3 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	  177006	       685.7 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	  175392	       682.7 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	  175102	       681.7 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   41288	      2887 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   41142	      2912 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   41054	      2917 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   41493	      2901 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   41259	      2903 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=50-10       	   41647	      2911 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	   21261	      5637 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	   21486	      5576 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	   21296	      5651 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	   21470	      5606 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	   21280	      5611 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=50-10      	   21333	      5629 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    4387	     25455 ns/op	  401409 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    4626	     25434 ns/op	  401409 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    4482	     25446 ns/op	  401409 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    4831	     25439 ns/op	  401409 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    4856	     25540 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=50-10      	    4770	     25708 ns/op	  401409 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	    1977	     59116 ns/op	  802830 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	    1999	     60468 ns/op	  802830 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	    2037	     59202 ns/op	  802829 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	    2158	     59382 ns/op	  802832 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	    2140	     60233 ns/op	  802831 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=50-10     	    2036	     57872 ns/op	  802829 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     601	    196272 ns/op	 4005901 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     589	    198286 ns/op	 4005899 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     591	    197996 ns/op	 4005898 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     613	    195528 ns/op	 4005898 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     619	    195683 ns/op	 4005898 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=50-10     	     615	    196676 ns/op	 4005896 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	     332	    354824 ns/op	 8003596 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	     340	    347325 ns/op	 8003591 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	     344	    346489 ns/op	 8003590 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	     346	    347485 ns/op	 8003594 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	     344	    346368 ns/op	 8003594 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=50-10    	     337	    349306 ns/op	 8003592 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	 1477081	        81.47 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	 1462573	        81.97 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	 1467651	        81.79 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	 1464050	        81.86 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	 1460174	        82.32 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=100-10        	 1453990	        82.33 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	 1000000	       125.1 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	 1000000	       126.2 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	  964856	       124.8 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	 1000000	       124.6 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	  998889	       125.6 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	 1000000	       125.3 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  934003	       136.5 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  881677	       138.5 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  955508	       136.6 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  921127	       136.7 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  948553	       137.6 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  923935	       133.9 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  324876	       376.9 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  314485	       376.2 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  318748	       381.9 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  317571	       389.2 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  311186	       385.2 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  301434	       386.3 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	  178144	       690.5 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	  168336	       697.8 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	  176094	       695.0 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	  179079	       690.4 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	  177139	       693.8 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	  174740	       697.9 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   41094	      2911 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   41245	      2910 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   41407	      2907 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   41202	      2895 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   40918	      2909 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   40056	      2954 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	   21463	      5617 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	   21411	      5607 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	   21346	      5620 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	   21219	      5632 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	   21463	      5595 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	   21315	      5627 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    4413	     25628 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    4826	     25323 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    4687	     25314 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    4852	     25321 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    4884	     25533 ns/op	  401409 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    4904	     25374 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	    2143	     57412 ns/op	  802829 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	    1846	     59322 ns/op	  802829 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	    2064	     58833 ns/op	  802830 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	    2134	     58968 ns/op	  802830 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	    2097	     58073 ns/op	  802831 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	    2167	     59107 ns/op	  802831 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	     577	    201885 ns/op	 4005901 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	     607	    198158 ns/op	 4005900 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	     600	    198081 ns/op	 4005898 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	     620	    196898 ns/op	 4005898 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	     622	    194496 ns/op	 4005897 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	     630	    196987 ns/op	 4005899 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	     320	    362500 ns/op	 8003597 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	     343	    348954 ns/op	 8003594 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	     349	    357255 ns/op	 8003592 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	     338	    347148 ns/op	 8003593 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	     346	    401484 ns/op	 8003595 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	     336	    350926 ns/op	 8003595 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  339645	       340.6 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  355735	       347.7 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  352159	       346.3 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  346928	       348.0 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  359820	       350.1 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  357896	       349.2 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  391831	       319.6 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  386395	       319.2 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  387080	       319.5 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  384825	       318.2 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  375963	       319.7 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  391138	       319.1 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  379436	       328.3 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  375679	       330.5 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  385557	       328.8 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  382261	       327.4 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  368838	       327.8 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  380403	       328.0 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  158498	       760.4 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  160346	       766.4 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  157813	       764.6 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  157320	       768.6 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  158298	       765.8 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  159576	       764.9 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	  136608	       894.2 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	  136434	       899.5 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	  135096	       896.7 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	  134160	       895.7 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	  132854	       897.9 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	  133701	       906.8 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   36864	      3264 ns/op	   49152 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   36776	      3271 ns/op	   49152 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   37095	      3263 ns/op	   49152 B/op	       1 allocs/op
