goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M1
                                 │ assets/BenchmarkAppend-expand.txt │    assets/BenchmarkAppend-for_index.txt     │   assets/BenchmarkAppend-for_prealloc.txt   │    assets/BenchmarkAppend-for.txt     │
                                 │              sec/op               │     sec/op       vs base                    │     sec/op       vs base                    │    sec/op     vs base                 │
Append/size=10000_subset=10000-8                      200.0Ki ± 0%     160.0Ki ± 0%  -20.00% (p=0.000 n=10)      160.0Ki ± 0%  -20.00% (p=0.000 n=10)      296.0Ki ± 0%   +48.00% (p=0.000 n=10)
geomean                                                            ²   19.79Ki       ?                           19.79Ki       ?                                          +69.76%                ²
¹ all samples are equal
² summaries must be >0 to compute geomean

                                 │ assets/BenchmarkAppend-expand.txt │ assets/BenchmarkAppend-for_index.txt │ assets/BenchmarkAppend-for_prealloc.txt │     assets/BenchmarkAppend-for.txt      │
                                 │             allocs/op             │    allocs/op      vs base            │      allocs/op       vs base            │  allocs/op   vs base                    │
Append/size=10_subset=10-8                              1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    1.000 ± 0%          ~ (p=1.000 n=10) ¹
Append/size=10_subset=100-8                             1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    3.000 ± 0%   +200.00% (p=0.000 n=10)
Append/size=10_subset=500-8                             1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    5.000 ± 0%   +400.00% (p=0.000 n=10)
Append/size=10_subset=1000-8                            1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    7.000 ± 0%   +600.00% (p=0.000 n=10)
Append/size=10_subset=5000-8                            1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹   11.000 ± 0%  +1000.00% (p=0.000 n=10)
Append/size=10_subset=10000-8                           1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹   14.000 ± 0%  +1300.00% (p=0.000 n=10)
Append/size=100_subset=10-8                             0.000 ± 0%           1.000 ± 0%  ? (p=0.000 n=10)              1.000 ± 0%  ? (p=0.000 n=10)      0.000 ± 0%          ~ (p=1.000 n=10) ¹
Append/size=100_subset=100-8                            1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    1.000 ± 0%          ~ (p=1.000 n=10) ¹
Append/size=100_subset=500-8                            1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    3.000 ± 0%   +200.00% (p=0.000 n=10)
Append/size=100_subset=1000-8                           1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    4.000 ± 0%   +300.00% (p=0.000 n=10)
Append/size=100_subset=5000-8                           1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    8.000 ± 0%   +700.00% (p=0.000 n=10)
Append/size=100_subset=10000-8                          1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹   11.000 ± 0%  +1000.00% (p=0.000 n=10)
Append/size=500_subset=10-8                             0.000 ± 0%           1.000 ± 0%  ? (p=0.000 n=10)              1.000 ± 0%  ? (p=0.000 n=10)      0.000 ± 0%          ~ (p=1.000 n=10) ¹
Append/size=500_subset=100-8                            1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    1.000 ± 0%          ~ (p=1.000 n=10) ¹
Append/size=500_subset=500-8                            1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    2.000 ± 0%   +100.00% (p=0.000 n=10)
Append/size=500_subset=1000-8                           1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    3.000 ± 0%   +200.00% (p=0.000 n=10)
Append/size=500_subset=5000-8                           1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    7.000 ± 0%   +600.00% (p=0.000 n=10)
Append/size=500_subset=10000-8                          1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    9.000 ± 0%   +800.00% (p=0.000 n=10)
Append/size=1000_subset=10-8                            0.000 ± 0%           1.000 ± 0%  ? (p=0.000 n=10)              1.000 ± 0%  ? (p=0.000 n=10)      0.000 ± 0%          ~ (p=1.000 n=10) ¹
