goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkBuildSlice/size=32_length=10-10        	 1000000	       126.6 ns/op	     984 B/op	       5 allocs/op
BenchmarkBuildSlice/size=32_length=10-10        	  958849	       127.2 ns/op	     984 B/op	       5 allocs/op
BenchmarkBuildSlice/size=32_length=10-10        	 1000000	       121.8 ns/op	     984 B/op	       5 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  282039	       422.5 ns/op	    4056 B/op	       7 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  284756	       433.2 ns/op	    4056 B/op	       7 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  273192	       432.8 ns/op	    4056 B/op	       7 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  282799	       435.1 ns/op	    4056 B/op	       7 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  281056	       437.0 ns/op	    4056 B/op	       7 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  275882	       434.2 ns/op	    4056 B/op	       7 allocs/op
BenchmarkBuildSlice/size=32_length=100-10       	  139760	       854.2 ns/op	    8152 B/op	       8 allocs/op
BenchmarkBuildSlice/size=32_length=100-10       	  139094	       839.3 ns/op	    8152 B/op	       8 allocs/op
BenchmarkBuildSlice/size=32_length=100-10       	  147201	       838.9 ns/op	    8152 B/op	       8 allocs/op
BenchmarkBuildSlice/size=32_length=100-10       	  144334	       826.0 ns/op	    8152 B/op	       8 allocs/op
BenchmarkBuildSlice/size=32_length=100-10       	  146514	       836.0 ns/op	    8152 B/op	       8 allocs/op
BenchmarkBuildSlice/size=32_length=100-10       	  145382	       937.1 ns/op	    8152 B/op	       8 allocs/op
BenchmarkBuildSlice/size=32_length=500-10       	   33685	      3447 ns/op	   32728 B/op	      10 allocs/op
BenchmarkBuildSlice/size=32_length=500-10       	   35659	      3821 ns/op	   32728 B/op	      10 allocs/op
BenchmarkBuildSlice/size=32_length=500-10       	   26858	      4322 ns/op	   32728 B/op	      10 allocs/op
BenchmarkBuildSlice/size=32_length=500-10       	   34160	      3891 ns/op	   32728 B/op	      10 allocs/op
BenchmarkBuildSlice/size=32_length=500-10       	   33601	      3665 ns/op	   32728 B/op	      10 allocs/op
BenchmarkBuildSlice/size=32_length=500-10       	   34030	      3866 ns/op	   32728 B/op	      10 allocs/op
